dd/MM/yyyy HH:mm:ss;CTC31,16
26/02/2021 16:02:12;4,00
26/02/2021 16:02:14;10,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;0,00
26/02/2021 16:02:20;9,00
26/02/2021 16:02:22;12,00
26/02/2021 16:02:24;9,00
26/02/2021 16:02:26;13,00
26/02/2021 16:02:28;14,00
26/02/2021 16:02:30;8,00
26/02/2021 16:02:32;2,00
26/02/2021 16:02:36;12,00
26/02/2021 16:02:38;5,00
26/02/2021 16:02:40;9,00
26/02/2021 16:02:44;14,00
26/02/2021 16:02:46;13,00
26/02/2021 16:02:48;4,00
26/02/2021 16:02:50;5,00
26/02/2021 16:02:52;11,00
26/02/2021 16:02:54;14,00
26/02/2021 16:02:56;1,00
26/02/2021 16:02:58;12,00
26/02/2021 16:03:00;9,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;9,00
26/02/2021 16:03:06;14,00
26/02/2021 16:03:08;3,00
26/02/2021 16:03:10;10,00
26/02/2021 16:03:12;4,00
26/02/2021 16:03:14;13,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:18;14,00
26/02/2021 16:03:20;11,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:26;10,00
26/02/2021 16:03:28;8,00
26/02/2021 16:03:30;13,00
26/02/2021 16:03:32;0,00
26/02/2021 16:03:34;13,00
26/02/2021 16:03:37;3,00
26/02/2021 16:03:39;7,00
26/02/2021 16:03:41;3,00
26/02/2021 16:03:43;9,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;6,00
26/02/2021 16:03:49;14,00
26/02/2021 16:03:51;6,00
26/02/2021 16:03:53;0,00
26/02/2021 16:03:55;3,00
26/02/2021 16:03:59;0,00
26/02/2021 16:04:01;4,00
26/02/2021 16:04:03;8,00
26/02/2021 16:04:05;3,00
26/02/2021 16:04:07;13,00
26/02/2021 16:04:09;11,00
26/02/2021 16:04:11;9,00
26/02/2021 16:04:13;4,00
26/02/2021 16:04:15;0,00
26/02/2021 16:04:17;6,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;6,00
26/02/2021 16:04:23;10,00
26/02/2021 16:04:25;12,00
26/02/2021 16:04:27;11,00
26/02/2021 16:04:29;7,00
26/02/2021 16:04:31;8,00
26/02/2021 16:04:33;13,00
26/02/2021 16:04:35;8,00
26/02/2021 16:04:37;5,00
26/02/2021 16:04:39;10,00
26/02/2021 16:04:41;0,00
26/02/2021 16:04:43;9,00
26/02/2021 16:04:45;4,00
26/02/2021 16:04:47;1,00
26/02/2021 16:04:49;5,00
26/02/2021 16:04:51;2,00
26/02/2021 16:04:55;10,00
26/02/2021 16:04:57;3,00
26/02/2021 16:04:59;5,00
26/02/2021 16:05:01;2,00
26/02/2021 16:05:03;10,00
26/02/2021 16:05:05;4,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:09;10,00
26/02/2021 16:05:11;4,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;2,00
26/02/2021 16:05:17;11,00
26/02/2021 16:05:19;2,00
26/02/2021 16:05:21;14,00
26/02/2021 16:05:23;1,00
26/02/2021 16:05:27;4,00
26/02/2021 16:05:29;12,00
26/02/2021 16:05:33;11,00
26/02/2021 16:05:35;6,00
26/02/2021 16:05:37;1,00
