dd/MM/yyyy HH:mm:ss;CTC6,16
26/02/2021 16:02:12;8,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;9,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;13,00
26/02/2021 16:02:24;12,00
26/02/2021 16:02:26;10,00
26/02/2021 16:02:28;5,00
26/02/2021 16:02:30;4,00
26/02/2021 16:02:32;1,00
26/02/2021 16:02:34;12,00
26/02/2021 16:02:38;11,00
26/02/2021 16:02:40;10,00
26/02/2021 16:02:42;7,00
26/02/2021 16:02:44;0,00
26/02/2021 16:02:46;2,00
26/02/2021 16:02:48;5,00
26/02/2021 16:02:50;9,00
26/02/2021 16:02:52;4,00
26/02/2021 16:02:54;1,00
26/02/2021 16:02:56;12,00
26/02/2021 16:02:58;13,00
26/02/2021 16:03:00;2,00
26/02/2021 16:03:02;10,00
26/02/2021 16:03:04;2,00
26/02/2021 16:03:06;6,00
26/02/2021 16:03:08;0,00
26/02/2021 16:03:10;5,00
26/02/2021 16:03:12;2,00
26/02/2021 16:03:14;6,00
26/02/2021 16:03:16;12,00
26/02/2021 16:03:18;11,00
26/02/2021 16:03:20;13,00
26/02/2021 16:03:22;14,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;12,00
26/02/2021 16:03:28;7,00
26/02/2021 16:03:30;6,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;0,00
26/02/2021 16:03:37;10,00
26/02/2021 16:03:39;3,00
26/02/2021 16:03:41;8,00
26/02/2021 16:03:43;0,00
26/02/2021 16:03:45;10,00
26/02/2021 16:03:47;0,00
26/02/2021 16:03:49;11,00
26/02/2021 16:03:51;12,00
26/02/2021 16:03:53;0,00
26/02/2021 16:03:55;8,00
26/02/2021 16:03:57;6,00
26/02/2021 16:03:59;14,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:03;0,00
26/02/2021 16:04:05;4,00
26/02/2021 16:04:07;7,00
26/02/2021 16:04:09;8,00
26/02/2021 16:04:11;4,00
26/02/2021 16:04:13;14,00
26/02/2021 16:04:15;8,00
26/02/2021 16:04:17;5,00
26/02/2021 16:04:21;12,00
26/02/2021 16:04:23;4,00
26/02/2021 16:04:25;0,00
26/02/2021 16:04:27;8,00
26/02/2021 16:04:29;10,00
26/02/2021 16:04:31;3,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:35;9,00
26/02/2021 16:04:37;10,00
26/02/2021 16:04:39;11,00
