dd/MM/yyyy HH:mm:ss;CTC23,16
26/02/2021 16:02:12;6,00
26/02/2021 16:02:14;2,00
26/02/2021 16:02:16;13,00
26/02/2021 16:02:18;8,00
26/02/2021 16:02:20;3,00
26/02/2021 16:02:22;13,00
26/02/2021 16:02:24;7,00
26/02/2021 16:02:28;12,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;9,00
26/02/2021 16:02:34;6,00
26/02/2021 16:02:36;3,00
26/02/2021 16:02:38;10,00
26/02/2021 16:02:40;0,00
26/02/2021 16:02:42;8,00
26/02/2021 16:02:44;12,00
26/02/2021 16:02:46;11,00
26/02/2021 16:02:48;8,00
26/02/2021 16:02:50;12,00
26/02/2021 16:02:52;0,00
26/02/2021 16:02:54;1,00
26/02/2021 16:02:56;13,00
26/02/2021 16:02:58;2,00
26/02/2021 16:03:00;13,00
26/02/2021 16:03:02;11,00
26/02/2021 16:03:04;7,00
26/02/2021 16:03:06;5,00
26/02/2021 16:03:08;10,00
26/02/2021 16:03:10;2,00
26/02/2021 16:03:12;14,00
26/02/2021 16:03:14;8,00
26/02/2021 16:03:16;6,00
26/02/2021 16:03:18;14,00
26/02/2021 16:03:20;10,00
26/02/2021 16:03:22;1,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;10,00
26/02/2021 16:03:28;5,00
26/02/2021 16:03:30;12,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;2,00
26/02/2021 16:03:37;3,00
26/02/2021 16:03:39;4,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;5,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;5,00
26/02/2021 16:03:49;8,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;13,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;4,00
26/02/2021 16:03:59;13,00
26/02/2021 16:04:01;14,00
26/02/2021 16:04:03;13,00
26/02/2021 16:04:05;5,00
26/02/2021 16:04:07;14,00
26/02/2021 16:04:09;1,00
26/02/2021 16:04:11;11,00
26/02/2021 16:04:13;7,00
26/02/2021 16:04:15;8,00
26/02/2021 16:04:17;3,00
26/02/2021 16:04:19;6,00
26/02/2021 16:04:21;14,00
26/02/2021 16:04:23;13,00
26/02/2021 16:04:25;12,00
26/02/2021 16:04:29;0,00
26/02/2021 16:04:31;1,00
26/02/2021 16:04:33;6,00
26/02/2021 16:04:35;4,00
26/02/2021 16:04:37;13,00
26/02/2021 16:04:41;11,00
26/02/2021 16:04:43;14,00
26/02/2021 16:04:45;7,00
26/02/2021 16:04:47;4,00
26/02/2021 16:04:49;12,00
26/02/2021 16:04:51;9,00
26/02/2021 16:04:53;7,00
26/02/2021 16:04:55;11,00
26/02/2021 16:04:57;0,00
26/02/2021 16:04:59;3,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:03;2,00
26/02/2021 16:05:05;6,00
26/02/2021 16:05:07;4,00
26/02/2021 16:05:09;14,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;7,00
26/02/2021 16:05:15;1,00
26/02/2021 16:05:17;4,00
26/02/2021 16:05:19;10,00
26/02/2021 16:05:21;14,00
26/02/2021 16:05:23;6,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;0,00
26/02/2021 16:05:29;13,00
26/02/2021 16:05:31;0,00
26/02/2021 16:05:33;1,00
26/02/2021 16:05:37;11,00
26/02/2021 16:05:39;2,00
26/02/2021 16:05:41;10,00
26/02/2021 16:05:43;4,00
26/02/2021 16:05:45;12,00
26/02/2021 16:05:47;1,00
26/02/2021 16:05:49;7,00
26/02/2021 16:05:51;6,00
26/02/2021 16:05:53;8,00
26/02/2021 16:05:55;5,00
26/02/2021 16:05:57;8,00
26/02/2021 16:05:59;13,00
26/02/2021 16:06:01;4,00
26/02/2021 16:06:04;7,00
26/02/2021 16:06:05;5,00
26/02/2021 16:06:08;0,00
26/02/2021 16:06:10;8,00
26/02/2021 16:06:12;12,00
26/02/2021 16:06:14;9,00
26/02/2021 16:06:16;14,00
26/02/2021 16:06:18;9,00
26/02/2021 16:06:20;5,00
26/02/2021 16:06:22;0,00
26/02/2021 16:06:24;3,00
26/02/2021 16:06:26;0,00
26/02/2021 16:06:28;2,00
26/02/2021 16:06:30;11,00
26/02/2021 16:06:32;8,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;3,00
26/02/2021 16:06:38;1,00
26/02/2021 16:06:40;13,00
26/02/2021 16:06:42;2,00
26/02/2021 16:06:44;13,00
26/02/2021 16:06:46;10,00
