dd/MM/yyyy HH:mm:ss;CTC4E,16
26/02/2021 16:02:12;12,00
26/02/2021 16:02:14;0,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;7,00
26/02/2021 16:02:22;8,00
26/02/2021 16:02:24;0,00
26/02/2021 16:02:28;14,00
26/02/2021 16:02:34;10,00
26/02/2021 16:02:36;4,00
26/02/2021 16:02:38;14,00
26/02/2021 16:02:40;7,00
26/02/2021 16:02:42;9,00
26/02/2021 16:02:44;14,00
26/02/2021 16:02:48;3,00
26/02/2021 16:02:50;5,00
26/02/2021 16:02:52;13,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;8,00
26/02/2021 16:02:58;11,00
26/02/2021 16:03:00;5,00
26/02/2021 16:03:02;10,00
26/02/2021 16:03:04;11,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;0,00
26/02/2021 16:03:12;4,00
26/02/2021 16:03:14;5,00
26/02/2021 16:03:16;3,00
26/02/2021 16:03:18;1,00
26/02/2021 16:03:20;14,00
26/02/2021 16:03:22;9,00
26/02/2021 16:03:24;8,00
26/02/2021 16:03:26;10,00
26/02/2021 16:03:28;4,00
26/02/2021 16:03:30;2,00
26/02/2021 16:03:34;11,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:41;0,00
26/02/2021 16:03:43;14,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;5,00
26/02/2021 16:03:49;2,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;1,00
26/02/2021 16:03:55;0,00
26/02/2021 16:03:57;8,00
26/02/2021 16:03:59;9,00
26/02/2021 16:04:01;10,00
26/02/2021 16:04:03;0,00
26/02/2021 16:04:05;3,00
26/02/2021 16:04:07;6,00
26/02/2021 16:04:09;13,00
26/02/2021 16:04:11;3,00
26/02/2021 16:04:13;5,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:19;14,00
26/02/2021 16:04:21;1,00
26/02/2021 16:04:23;4,00
26/02/2021 16:04:25;0,00
26/02/2021 16:04:27;10,00
26/02/2021 16:04:29;8,00
26/02/2021 16:04:31;5,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:37;11,00
26/02/2021 16:04:39;13,00
26/02/2021 16:04:41;10,00
26/02/2021 16:04:45;9,00
26/02/2021 16:04:47;4,00
26/02/2021 16:04:49;2,00
26/02/2021 16:04:51;7,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;3,00
26/02/2021 16:04:57;6,00
26/02/2021 16:04:59;0,00
26/02/2021 16:05:01;7,00
26/02/2021 16:05:03;1,00
26/02/2021 16:05:05;2,00
26/02/2021 16:05:07;12,00
26/02/2021 16:05:09;2,00
26/02/2021 16:05:11;11,00
26/02/2021 16:05:13;5,00
26/02/2021 16:05:15;8,00
26/02/2021 16:05:19;7,00
26/02/2021 16:05:21;9,00
26/02/2021 16:05:23;2,00
