dd/MM/yyyy HH:mm:ss;CHC5,16
26/02/2021 16:02:12;41,00
26/02/2021 16:02:14;81,00
26/02/2021 16:02:18;41,00
26/02/2021 16:02:20;62,00
26/02/2021 16:02:24;51,00
26/02/2021 16:02:26;87,00
26/02/2021 16:02:38;85,00
26/02/2021 16:02:40;72,00
26/02/2021 16:02:44;69,00
26/02/2021 16:02:46;79,00
26/02/2021 16:02:48;53,00
26/02/2021 16:02:50;72,00
26/02/2021 16:02:54;83,00
26/02/2021 16:02:56;62,00
26/02/2021 16:03:00;83,00
26/02/2021 16:03:06;71,00
26/02/2021 16:03:08;55,00
26/02/2021 16:03:10;83,00
26/02/2021 16:03:12;84,00
26/02/2021 16:03:20;47,00
26/02/2021 16:03:22;41,00
26/02/2021 16:03:24;66,00
26/02/2021 16:03:26;50,00
26/02/2021 16:03:28;42,00
26/02/2021 16:03:34;57,00
26/02/2021 16:03:37;64,00
26/02/2021 16:03:41;58,00
26/02/2021 16:03:43;88,00
26/02/2021 16:03:49;63,00
26/02/2021 16:03:51;47,00
26/02/2021 16:04:07;46,00
26/02/2021 16:04:09;81,00
26/02/2021 16:04:11;82,00
26/02/2021 16:04:15;44,00
26/02/2021 16:04:19;77,00
26/02/2021 16:04:21;69,00
26/02/2021 16:04:27;68,00
26/02/2021 16:04:29;54,00
26/02/2021 16:04:37;88,00
26/02/2021 16:04:43;44,00
26/02/2021 16:04:47;70,00
26/02/2021 16:05:01;80,00
26/02/2021 16:05:03;64,00
26/02/2021 16:05:05;49,00
26/02/2021 16:05:09;67,00
26/02/2021 16:05:11;89,00
26/02/2021 16:05:13;68,00
26/02/2021 16:05:15;59,00
26/02/2021 16:05:19;72,00
26/02/2021 16:05:21;77,00
26/02/2021 16:05:23;76,00
26/02/2021 16:05:25;89,00
26/02/2021 16:05:29;62,00
26/02/2021 16:05:31;74,00
26/02/2021 16:05:33;42,00
26/02/2021 16:05:35;87,00
26/02/2021 16:05:37;86,00
26/02/2021 16:05:39;77,00
26/02/2021 16:05:41;53,00
26/02/2021 16:05:47;61,00
26/02/2021 16:05:51;77,00
26/02/2021 16:05:53;64,00
26/02/2021 16:05:57;78,00
26/02/2021 16:05:59;63,00
26/02/2021 16:06:01;70,00
26/02/2021 16:06:05;56,00
26/02/2021 16:06:08;48,00
26/02/2021 16:06:14;66,00
26/02/2021 16:06:20;74,00
26/02/2021 16:06:22;56,00
26/02/2021 16:06:24;60,00
26/02/2021 16:06:26;55,00
26/02/2021 16:06:28;47,00
26/02/2021 16:06:36;84,00
26/02/2021 16:06:38;58,00
26/02/2021 16:06:40;54,00
26/02/2021 16:06:46;60,00
26/02/2021 16:06:52;72,00
26/02/2021 16:06:54;81,00
26/02/2021 16:06:56;52,00
26/02/2021 16:06:58;43,00
26/02/2021 16:07:00;64,00
26/02/2021 16:07:02;60,00
26/02/2021 16:07:04;87,00
26/02/2021 16:07:10;43,00
26/02/2021 16:07:12;88,00
26/02/2021 16:07:14;69,00
26/02/2021 16:07:18;47,00
26/02/2021 16:07:20;50,00
26/02/2021 16:07:24;45,00
26/02/2021 16:07:26;52,00
26/02/2021 16:07:30;56,00
26/02/2021 16:07:34;49,00
26/02/2021 16:07:42;64,00
26/02/2021 16:07:46;46,00
26/02/2021 16:07:48;80,00
26/02/2021 16:07:50;84,00
26/02/2021 16:07:52;81,00
26/02/2021 16:07:54;54,00
26/02/2021 16:08:04;77,00
26/02/2021 16:08:06;89,00
26/02/2021 16:08:10;80,00
26/02/2021 16:08:14;76,00
26/02/2021 16:08:20;69,00
26/02/2021 16:08:24;42,00
26/02/2021 16:08:26;57,00
26/02/2021 16:08:28;81,00
26/02/2021 16:08:30;42,00
26/02/2021 16:08:33;76,00
26/02/2021 16:08:34;52,00
26/02/2021 16:08:39;78,00
26/02/2021 16:08:41;52,00
26/02/2021 16:08:43;86,00
26/02/2021 16:08:47;82,00
26/02/2021 16:08:51;71,00
26/02/2021 16:08:53;85,00
26/02/2021 16:08:55;88,00
26/02/2021 16:09:05;42,00
26/02/2021 16:09:13;41,00
26/02/2021 16:09:15;44,00
26/02/2021 16:09:17;54,00
26/02/2021 16:09:19;72,00
26/02/2021 16:09:23;61,00
26/02/2021 16:09:25;55,00
26/02/2021 16:09:27;52,00
26/02/2021 16:09:33;43,00
26/02/2021 16:09:37;57,00
26/02/2021 16:09:39;42,00
26/02/2021 16:09:51;72,00
26/02/2021 16:09:53;60,00
26/02/2021 16:09:57;87,00
26/02/2021 16:10:01;81,00
26/02/2021 16:10:03;78,00
26/02/2021 16:10:07;64,00
26/02/2021 16:10:15;54,00
26/02/2021 16:10:17;60,00
26/02/2021 16:10:21;49,00
26/02/2021 16:10:31;87,00
26/02/2021 16:10:33;54,00
26/02/2021 16:10:41;87,00
26/02/2021 16:10:44;44,00
26/02/2021 16:10:46;42,00
26/02/2021 16:10:48;64,00
26/02/2021 16:10:50;53,00
26/02/2021 16:10:52;72,00
26/02/2021 16:10:56;89,00
26/02/2021 16:10:58;51,00
26/02/2021 16:11:02;60,00
26/02/2021 16:11:10;44,00
26/02/2021 16:11:20;51,00
26/02/2021 16:11:24;83,00
26/02/2021 16:11:26;54,00
26/02/2021 16:11:28;52,00
26/02/2021 16:11:32;61,00
26/02/2021 16:11:38;65,00
26/02/2021 16:11:46;83,00
26/02/2021 16:11:50;86,00
26/02/2021 16:11:54;49,00
26/02/2021 16:11:56;43,00
26/02/2021 16:11:58;61,00
26/02/2021 16:12:02;80,00
26/02/2021 16:12:06;63,00
26/02/2021 16:12:08;78,00
26/02/2021 16:12:10;69,00
26/02/2021 16:12:16;68,00
26/02/2021 16:12:18;73,00
26/02/2021 16:12:20;75,00
26/02/2021 16:12:22;58,00
26/02/2021 16:12:26;53,00
26/02/2021 16:12:28;41,00
26/02/2021 16:12:36;82,00
26/02/2021 16:12:40;70,00
26/02/2021 16:12:42;47,00
26/02/2021 16:12:46;42,00
26/02/2021 16:12:54;62,00
26/02/2021 16:12:58;44,00
26/02/2021 16:13:00;48,00
26/02/2021 16:13:08;45,00
26/02/2021 16:13:10;56,00
26/02/2021 16:13:12;85,00
26/02/2021 16:13:22;64,00
26/02/2021 16:13:25;73,00
26/02/2021 16:13:31;52,00
26/02/2021 16:13:39;81,00
26/02/2021 16:13:41;53,00
26/02/2021 16:13:43;52,00
