dd/MM/yyyy HH:mm:ss;CTC2H,16
26/02/2021 16:02:12;1,00
26/02/2021 16:02:14;12,00
26/02/2021 16:02:16;4,00
26/02/2021 16:02:18;11,00
26/02/2021 16:02:20;9,00
26/02/2021 16:02:22;1,00
26/02/2021 16:02:24;6,00
26/02/2021 16:02:26;11,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;0,00
26/02/2021 16:02:34;8,00
26/02/2021 16:02:36;3,00
26/02/2021 16:02:38;6,00
26/02/2021 16:02:40;1,00
26/02/2021 16:02:42;3,00
26/02/2021 16:02:44;2,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:48;10,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;1,00
26/02/2021 16:02:56;7,00
26/02/2021 16:02:58;2,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:02;11,00
26/02/2021 16:03:04;5,00
26/02/2021 16:03:08;9,00
26/02/2021 16:03:10;2,00
26/02/2021 16:03:12;5,00
26/02/2021 16:03:14;3,00
26/02/2021 16:03:16;0,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;12,00
26/02/2021 16:03:24;6,00
26/02/2021 16:03:26;7,00
26/02/2021 16:03:28;6,00
26/02/2021 16:03:30;12,00
26/02/2021 16:03:32;14,00
26/02/2021 16:03:34;5,00
26/02/2021 16:03:37;13,00
26/02/2021 16:03:39;1,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;4,00
26/02/2021 16:03:45;2,00
26/02/2021 16:03:47;13,00
26/02/2021 16:03:49;3,00
26/02/2021 16:03:53;13,00
26/02/2021 16:03:55;5,00
26/02/2021 16:03:57;10,00
26/02/2021 16:03:59;8,00
26/02/2021 16:04:03;4,00
26/02/2021 16:04:07;5,00
26/02/2021 16:04:09;4,00
26/02/2021 16:04:11;14,00
26/02/2021 16:04:13;11,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:17;10,00
26/02/2021 16:04:19;2,00
26/02/2021 16:04:21;6,00
26/02/2021 16:04:23;4,00
26/02/2021 16:04:25;9,00
26/02/2021 16:04:27;13,00
26/02/2021 16:04:29;12,00
26/02/2021 16:04:31;4,00
26/02/2021 16:04:33;12,00
