dd/MM/yyyy HH:mm:ss;CTC5A,16
26/02/2021 16:02:12;2,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;1,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;7,00
26/02/2021 16:02:24;13,00
26/02/2021 16:02:26;11,00
26/02/2021 16:02:28;10,00
26/02/2021 16:02:30;9,00
26/02/2021 16:02:32;8,00
26/02/2021 16:02:34;7,00
26/02/2021 16:02:36;4,00
26/02/2021 16:02:40;13,00
26/02/2021 16:02:42;4,00
26/02/2021 16:02:44;8,00
26/02/2021 16:02:46;3,00
26/02/2021 16:02:48;5,00
26/02/2021 16:02:50;6,00
26/02/2021 16:02:52;1,00
26/02/2021 16:02:54;4,00
26/02/2021 16:02:56;7,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:00;4,00
26/02/2021 16:03:02;3,00
26/02/2021 16:03:04;0,00
26/02/2021 16:03:06;13,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;1,00
26/02/2021 16:03:12;0,00
26/02/2021 16:03:14;9,00
26/02/2021 16:03:16;10,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;1,00
26/02/2021 16:03:28;12,00
26/02/2021 16:03:30;8,00
26/02/2021 16:03:32;3,00
26/02/2021 16:03:34;11,00
26/02/2021 16:03:37;0,00
26/02/2021 16:03:39;4,00
26/02/2021 16:03:41;14,00
26/02/2021 16:03:45;6,00
26/02/2021 16:03:47;13,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;1,00
26/02/2021 16:03:53;4,00
26/02/2021 16:03:55;10,00
26/02/2021 16:03:57;4,00
26/02/2021 16:03:59;5,00
26/02/2021 16:04:01;13,00
26/02/2021 16:04:03;4,00
26/02/2021 16:04:05;5,00
26/02/2021 16:04:09;7,00
26/02/2021 16:04:11;8,00
26/02/2021 16:04:13;1,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:19;3,00
26/02/2021 16:04:21;0,00
26/02/2021 16:04:23;1,00
26/02/2021 16:04:25;0,00
26/02/2021 16:04:27;9,00
26/02/2021 16:04:29;1,00
26/02/2021 16:04:31;9,00
26/02/2021 16:04:33;13,00
26/02/2021 16:04:35;8,00
26/02/2021 16:04:37;10,00
26/02/2021 16:04:39;9,00
26/02/2021 16:04:41;1,00
26/02/2021 16:04:43;7,00
26/02/2021 16:04:45;11,00
26/02/2021 16:04:47;6,00
26/02/2021 16:04:49;10,00
26/02/2021 16:04:51;0,00
26/02/2021 16:04:53;12,00
26/02/2021 16:04:55;10,00
26/02/2021 16:04:57;7,00
26/02/2021 16:04:59;0,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:03;11,00
26/02/2021 16:05:05;4,00
26/02/2021 16:05:07;3,00
26/02/2021 16:05:09;1,00
26/02/2021 16:05:11;2,00
26/02/2021 16:05:13;9,00
26/02/2021 16:05:15;12,00
26/02/2021 16:05:17;6,00
26/02/2021 16:05:19;1,00
26/02/2021 16:05:21;3,00
26/02/2021 16:05:23;0,00
26/02/2021 16:05:25;11,00
26/02/2021 16:05:27;13,00
26/02/2021 16:05:29;10,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;0,00
26/02/2021 16:05:35;7,00
26/02/2021 16:05:37;0,00
26/02/2021 16:05:39;1,00
26/02/2021 16:05:41;3,00
26/02/2021 16:05:43;7,00
26/02/2021 16:05:45;3,00
26/02/2021 16:05:47;0,00
26/02/2021 16:05:49;8,00
26/02/2021 16:05:51;11,00
26/02/2021 16:05:53;5,00
26/02/2021 16:05:57;9,00
26/02/2021 16:05:59;13,00
26/02/2021 16:06:01;6,00
26/02/2021 16:06:04;9,00
26/02/2021 16:06:05;4,00
26/02/2021 16:06:08;5,00
26/02/2021 16:06:10;13,00
26/02/2021 16:06:12;9,00
26/02/2021 16:06:14;7,00
26/02/2021 16:06:16;1,00
26/02/2021 16:06:18;6,00
26/02/2021 16:06:20;7,00
26/02/2021 16:06:22;6,00
26/02/2021 16:06:24;0,00
26/02/2021 16:06:26;3,00
26/02/2021 16:06:28;6,00
26/02/2021 16:06:30;4,00
26/02/2021 16:06:32;8,00
26/02/2021 16:06:34;12,00
26/02/2021 16:06:36;9,00
26/02/2021 16:06:38;6,00
26/02/2021 16:06:40;10,00
26/02/2021 16:06:42;3,00
26/02/2021 16:06:44;9,00
26/02/2021 16:06:46;4,00
26/02/2021 16:06:48;1,00
26/02/2021 16:06:50;5,00
26/02/2021 16:06:52;2,00
26/02/2021 16:06:54;1,00
26/02/2021 16:06:56;5,00
26/02/2021 16:06:58;13,00
26/02/2021 16:07:02;7,00
26/02/2021 16:07:04;2,00
26/02/2021 16:07:06;10,00
26/02/2021 16:07:08;9,00
26/02/2021 16:07:10;11,00
26/02/2021 16:07:12;5,00
26/02/2021 16:07:14;14,00
26/02/2021 16:07:16;3,00
26/02/2021 16:07:18;1,00
26/02/2021 16:07:22;9,00
26/02/2021 16:07:24;4,00
26/02/2021 16:07:26;7,00
26/02/2021 16:07:28;14,00
26/02/2021 16:07:30;2,00
26/02/2021 16:07:32;11,00
26/02/2021 16:07:34;12,00
26/02/2021 16:07:36;11,00
26/02/2021 16:07:38;1,00
26/02/2021 16:07:40;0,00
26/02/2021 16:07:44;6,00
26/02/2021 16:07:46;12,00
26/02/2021 16:07:48;8,00
26/02/2021 16:07:50;11,00
26/02/2021 16:07:54;3,00
26/02/2021 16:07:56;0,00
26/02/2021 16:07:58;1,00
26/02/2021 16:08:00;2,00
26/02/2021 16:08:02;6,00
26/02/2021 16:08:04;14,00
26/02/2021 16:08:06;7,00
26/02/2021 16:08:08;10,00
26/02/2021 16:08:10;4,00
26/02/2021 16:08:12;7,00
26/02/2021 16:08:14;12,00
26/02/2021 16:08:18;14,00
26/02/2021 16:08:20;1,00
26/02/2021 16:08:22;7,00
26/02/2021 16:08:24;13,00
26/02/2021 16:08:26;14,00
26/02/2021 16:08:28;10,00
26/02/2021 16:08:30;11,00
26/02/2021 16:08:33;4,00
26/02/2021 16:08:34;8,00
26/02/2021 16:08:37;13,00
26/02/2021 16:08:39;7,00
26/02/2021 16:08:41;6,00
26/02/2021 16:08:43;11,00
26/02/2021 16:08:45;14,00
26/02/2021 16:08:47;10,00
26/02/2021 16:08:49;7,00
26/02/2021 16:08:51;13,00
26/02/2021 16:08:53;4,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:59;5,00
26/02/2021 16:09:01;6,00
26/02/2021 16:09:03;3,00
26/02/2021 16:09:05;7,00
26/02/2021 16:09:07;0,00
26/02/2021 16:09:09;14,00
26/02/2021 16:09:13;9,00
26/02/2021 16:09:15;13,00
26/02/2021 16:09:17;3,00
26/02/2021 16:09:19;12,00
26/02/2021 16:09:21;6,00
26/02/2021 16:09:23;9,00
26/02/2021 16:09:25;13,00
26/02/2021 16:09:27;9,00
26/02/2021 16:09:29;4,00
26/02/2021 16:09:31;1,00
26/02/2021 16:09:33;4,00
26/02/2021 16:09:35;12,00
26/02/2021 16:09:37;6,00
26/02/2021 16:09:39;5,00
26/02/2021 16:09:41;8,00
26/02/2021 16:09:43;4,00
26/02/2021 16:09:45;11,00
26/02/2021 16:09:47;1,00
26/02/2021 16:09:49;7,00
26/02/2021 16:09:51;3,00
26/02/2021 16:09:53;10,00
26/02/2021 16:09:55;6,00
26/02/2021 16:09:57;11,00
26/02/2021 16:09:59;8,00
26/02/2021 16:10:01;4,00
26/02/2021 16:10:03;1,00
26/02/2021 16:10:05;9,00
26/02/2021 16:10:07;7,00
26/02/2021 16:10:09;9,00
26/02/2021 16:10:11;4,00
26/02/2021 16:10:13;11,00
26/02/2021 16:10:15;0,00
26/02/2021 16:10:17;11,00
26/02/2021 16:10:19;2,00
26/02/2021 16:10:21;7,00
26/02/2021 16:10:23;10,00
26/02/2021 16:10:25;13,00
26/02/2021 16:10:27;0,00
26/02/2021 16:10:29;14,00
26/02/2021 16:10:31;6,00
26/02/2021 16:10:33;13,00
26/02/2021 16:10:35;2,00
26/02/2021 16:10:37;4,00
26/02/2021 16:10:39;9,00
26/02/2021 16:10:41;13,00
26/02/2021 16:10:44;9,00
26/02/2021 16:10:46;4,00
26/02/2021 16:10:48;8,00
26/02/2021 16:10:50;3,00
26/02/2021 16:10:52;14,00
26/02/2021 16:10:54;11,00
26/02/2021 16:10:56;1,00
26/02/2021 16:10:58;5,00
26/02/2021 16:11:00;14,00
26/02/2021 16:11:02;9,00
26/02/2021 16:11:04;5,00
26/02/2021 16:11:08;8,00
26/02/2021 16:11:10;14,00
26/02/2021 16:11:12;7,00
26/02/2021 16:11:14;1,00
26/02/2021 16:11:16;14,00
26/02/2021 16:11:18;9,00
26/02/2021 16:11:20;8,00
26/02/2021 16:11:22;3,00
26/02/2021 16:11:26;9,00
26/02/2021 16:11:28;8,00
26/02/2021 16:11:30;3,00
26/02/2021 16:11:32;5,00
26/02/2021 16:11:34;0,00
26/02/2021 16:11:36;9,00
26/02/2021 16:11:38;6,00
26/02/2021 16:11:40;9,00
26/02/2021 16:11:42;12,00
26/02/2021 16:11:44;13,00
26/02/2021 16:11:46;2,00
26/02/2021 16:11:48;9,00
26/02/2021 16:11:50;10,00
26/02/2021 16:11:52;9,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:56;2,00
26/02/2021 16:11:58;5,00
26/02/2021 16:12:00;4,00
26/02/2021 16:12:02;12,00
26/02/2021 16:12:04;2,00
26/02/2021 16:12:06;7,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:12;1,00
26/02/2021 16:12:14;10,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;5,00
26/02/2021 16:12:20;3,00
26/02/2021 16:12:22;11,00
26/02/2021 16:12:24;14,00
26/02/2021 16:12:26;11,00
26/02/2021 16:12:28;12,00
26/02/2021 16:12:30;0,00
26/02/2021 16:12:32;3,00
26/02/2021 16:12:34;6,00
26/02/2021 16:12:36;8,00
26/02/2021 16:12:40;11,00
26/02/2021 16:12:42;14,00
26/02/2021 16:12:44;8,00
26/02/2021 16:12:46;9,00
26/02/2021 16:12:48;10,00
26/02/2021 16:12:50;0,00
26/02/2021 16:12:52;14,00
26/02/2021 16:12:54;9,00
26/02/2021 16:12:56;13,00
26/02/2021 16:12:58;6,00
26/02/2021 16:13:00;3,00
26/02/2021 16:13:02;8,00
26/02/2021 16:13:04;5,00
26/02/2021 16:13:06;2,00
26/02/2021 16:13:08;13,00
26/02/2021 16:13:10;4,00
26/02/2021 16:13:12;7,00
26/02/2021 16:13:14;1,00
26/02/2021 16:13:16;13,00
26/02/2021 16:13:18;12,00
26/02/2021 16:13:21;13,00
26/02/2021 16:13:22;6,00
26/02/2021 16:13:25;4,00
26/02/2021 16:13:27;6,00
26/02/2021 16:13:29;0,00
26/02/2021 16:13:31;2,00
26/02/2021 16:13:33;4,00
26/02/2021 16:13:37;0,00
26/02/2021 16:13:41;5,00
26/02/2021 16:13:43;0,00
26/02/2021 16:13:45;13,00
26/02/2021 16:13:49;6,00
26/02/2021 16:13:51;5,00
26/02/2021 16:13:53;2,00
26/02/2021 16:13:55;9,00
26/02/2021 16:13:57;1,00
26/02/2021 16:13:59;8,00
26/02/2021 16:14:01;13,00
26/02/2021 16:14:03;3,00
26/02/2021 16:14:05;8,00
26/02/2021 16:14:07;0,00
26/02/2021 16:14:09;8,00
26/02/2021 16:14:11;9,00
26/02/2021 16:14:13;3,00
26/02/2021 16:14:15;4,00
26/02/2021 16:14:17;7,00
26/02/2021 16:14:19;14,00
26/02/2021 16:14:21;6,00
26/02/2021 16:14:23;0,00
26/02/2021 16:14:25;1,00
26/02/2021 16:14:27;4,00
26/02/2021 16:14:29;9,00
26/02/2021 16:14:31;11,00
26/02/2021 16:14:33;1,00
26/02/2021 16:14:35;4,00
26/02/2021 16:14:37;3,00
26/02/2021 16:14:39;11,00
26/02/2021 16:14:41;0,00
