dd/MM/yyyy HH:mm:ss;CTC5H,16
26/02/2021 16:02:12;14,00
26/02/2021 16:02:14;13,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;14,00
26/02/2021 16:02:20;3,00
26/02/2021 16:02:22;5,00
26/02/2021 16:02:24;9,00
26/02/2021 16:02:26;2,00
26/02/2021 16:02:28;7,00
26/02/2021 16:02:32;6,00
26/02/2021 16:02:34;13,00
26/02/2021 16:02:36;5,00
26/02/2021 16:02:38;9,00
26/02/2021 16:02:40;0,00
26/02/2021 16:02:42;4,00
26/02/2021 16:02:44;11,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:48;10,00
26/02/2021 16:02:50;7,00
26/02/2021 16:02:52;1,00
26/02/2021 16:02:54;11,00
26/02/2021 16:02:56;6,00
26/02/2021 16:02:58;2,00
26/02/2021 16:03:00;7,00
26/02/2021 16:03:02;3,00
26/02/2021 16:03:04;14,00
26/02/2021 16:03:06;8,00
26/02/2021 16:03:08;7,00
26/02/2021 16:03:10;11,00
26/02/2021 16:03:12;1,00
26/02/2021 16:03:14;2,00
26/02/2021 16:03:16;8,00
26/02/2021 16:03:18;0,00
26/02/2021 16:03:20;1,00
26/02/2021 16:03:22;0,00
26/02/2021 16:03:24;5,00
26/02/2021 16:03:26;2,00
26/02/2021 16:03:28;1,00
26/02/2021 16:03:30;3,00
26/02/2021 16:03:32;1,00
26/02/2021 16:03:34;2,00
26/02/2021 16:03:37;0,00
26/02/2021 16:03:39;13,00
26/02/2021 16:03:41;10,00
26/02/2021 16:03:43;1,00
26/02/2021 16:03:45;0,00
26/02/2021 16:03:47;4,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;9,00
26/02/2021 16:03:53;6,00
26/02/2021 16:03:55;8,00
26/02/2021 16:03:57;13,00
26/02/2021 16:03:59;4,00
26/02/2021 16:04:01;5,00
26/02/2021 16:04:03;2,00
26/02/2021 16:04:05;11,00
26/02/2021 16:04:07;10,00
26/02/2021 16:04:09;6,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;9,00
26/02/2021 16:04:15;0,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;2,00
26/02/2021 16:04:25;11,00
26/02/2021 16:04:27;12,00
26/02/2021 16:04:31;1,00
26/02/2021 16:04:33;10,00
26/02/2021 16:04:35;12,00
26/02/2021 16:04:37;5,00
26/02/2021 16:04:39;2,00
26/02/2021 16:04:41;6,00
26/02/2021 16:04:43;14,00
26/02/2021 16:04:45;0,00
26/02/2021 16:04:49;2,00
26/02/2021 16:04:51;1,00
26/02/2021 16:04:53;4,00
26/02/2021 16:04:55;10,00
26/02/2021 16:04:57;14,00
26/02/2021 16:04:59;0,00
26/02/2021 16:05:03;11,00
26/02/2021 16:05:05;8,00
26/02/2021 16:05:07;11,00
26/02/2021 16:05:09;0,00
26/02/2021 16:05:11;7,00
26/02/2021 16:05:13;4,00
26/02/2021 16:05:15;0,00
26/02/2021 16:05:17;8,00
26/02/2021 16:05:21;7,00
26/02/2021 16:05:23;11,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;14,00
26/02/2021 16:05:29;10,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:35;7,00
26/02/2021 16:05:37;14,00
26/02/2021 16:05:39;0,00
26/02/2021 16:05:41;13,00
26/02/2021 16:05:43;4,00
26/02/2021 16:05:45;7,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;2,00
26/02/2021 16:05:51;14,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;5,00
26/02/2021 16:05:57;12,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;3,00
26/02/2021 16:06:04;14,00
26/02/2021 16:06:08;13,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:12;5,00
26/02/2021 16:06:14;0,00
26/02/2021 16:06:16;2,00
26/02/2021 16:06:18;13,00
26/02/2021 16:06:20;12,00
26/02/2021 16:06:22;4,00
26/02/2021 16:06:24;0,00
26/02/2021 16:06:26;4,00
26/02/2021 16:06:28;6,00
26/02/2021 16:06:30;4,00
26/02/2021 16:06:32;5,00
26/02/2021 16:06:34;3,00
26/02/2021 16:06:38;0,00
26/02/2021 16:06:40;4,00
26/02/2021 16:06:42;7,00
26/02/2021 16:06:44;9,00
26/02/2021 16:06:48;0,00
26/02/2021 16:06:50;14,00
26/02/2021 16:06:52;1,00
26/02/2021 16:06:54;11,00
26/02/2021 16:06:58;8,00
26/02/2021 16:07:00;3,00
26/02/2021 16:07:02;7,00
26/02/2021 16:07:04;14,00
26/02/2021 16:07:06;0,00
26/02/2021 16:07:08;7,00
26/02/2021 16:07:10;0,00
26/02/2021 16:07:12;1,00
26/02/2021 16:07:14;2,00
26/02/2021 16:07:16;0,00
26/02/2021 16:07:18;3,00
26/02/2021 16:07:20;5,00
26/02/2021 16:07:22;1,00
26/02/2021 16:07:24;8,00
26/02/2021 16:07:26;6,00
26/02/2021 16:07:28;2,00
