dd/MM/yyyy HH:mm:ss;CHC22,16
26/02/2021 16:02:16;47,00
26/02/2021 16:02:18;87,00
26/02/2021 16:02:20;67,00
26/02/2021 16:02:22;84,00
26/02/2021 16:02:24;64,00
26/02/2021 16:02:26;46,00
26/02/2021 16:02:28;89,00
26/02/2021 16:02:32;79,00
26/02/2021 16:02:34;45,00
26/02/2021 16:02:42;73,00
26/02/2021 16:02:44;56,00
26/02/2021 16:02:46;87,00
26/02/2021 16:02:48;48,00
26/02/2021 16:02:52;81,00
26/02/2021 16:02:54;50,00
26/02/2021 16:02:56;62,00
26/02/2021 16:03:00;49,00
26/02/2021 16:03:02;52,00
26/02/2021 16:03:06;84,00
26/02/2021 16:03:08;68,00
26/02/2021 16:03:12;70,00
26/02/2021 16:03:14;60,00
26/02/2021 16:03:16;80,00
26/02/2021 16:03:18;52,00
26/02/2021 16:03:22;62,00
26/02/2021 16:03:28;45,00
26/02/2021 16:03:32;59,00
26/02/2021 16:03:34;65,00
26/02/2021 16:03:37;49,00
26/02/2021 16:03:39;46,00
26/02/2021 16:03:41;55,00
26/02/2021 16:03:47;60,00
26/02/2021 16:04:01;67,00
26/02/2021 16:04:03;47,00
26/02/2021 16:04:05;73,00
26/02/2021 16:04:19;58,00
26/02/2021 16:04:21;88,00
26/02/2021 16:04:23;48,00
26/02/2021 16:04:25;89,00
26/02/2021 16:04:27;65,00
26/02/2021 16:04:29;61,00
26/02/2021 16:04:33;58,00
26/02/2021 16:04:37;60,00
26/02/2021 16:04:39;46,00
26/02/2021 16:04:41;85,00
26/02/2021 16:04:47;60,00
26/02/2021 16:04:49;57,00
26/02/2021 16:04:51;70,00
26/02/2021 16:04:59;89,00
26/02/2021 16:05:01;49,00
26/02/2021 16:05:03;51,00
26/02/2021 16:05:05;49,00
26/02/2021 16:05:07;63,00
26/02/2021 16:05:09;73,00
26/02/2021 16:05:11;80,00
26/02/2021 16:05:17;51,00
26/02/2021 16:05:19;81,00
26/02/2021 16:05:21;43,00
26/02/2021 16:05:27;45,00
26/02/2021 16:05:33;81,00
26/02/2021 16:05:35;70,00
26/02/2021 16:05:37;89,00
