dd/MM/yyyy HH:mm:ss;CHC12,16
26/02/2021 16:02:12;81,00
26/02/2021 16:02:18;74,00
26/02/2021 16:02:22;61,00
26/02/2021 16:02:24;55,00
26/02/2021 16:02:26;89,00
26/02/2021 16:02:34;67,00
26/02/2021 16:02:44;60,00
26/02/2021 16:02:52;63,00
26/02/2021 16:02:56;61,00
26/02/2021 16:02:58;74,00
26/02/2021 16:03:00;45,00
26/02/2021 16:03:04;53,00
26/02/2021 16:03:06;74,00
26/02/2021 16:03:10;65,00
26/02/2021 16:03:16;74,00
26/02/2021 16:03:22;69,00
26/02/2021 16:03:30;84,00
26/02/2021 16:03:34;48,00
26/02/2021 16:03:39;85,00
26/02/2021 16:03:41;61,00
26/02/2021 16:03:45;78,00
26/02/2021 16:03:49;52,00
26/02/2021 16:03:51;85,00
26/02/2021 16:03:57;68,00
26/02/2021 16:03:59;48,00
26/02/2021 16:04:03;58,00
26/02/2021 16:04:05;68,00
26/02/2021 16:04:07;79,00
26/02/2021 16:04:11;41,00
26/02/2021 16:04:15;68,00
26/02/2021 16:04:19;55,00
26/02/2021 16:04:21;81,00
26/02/2021 16:04:23;72,00
26/02/2021 16:04:27;42,00
26/02/2021 16:04:29;41,00
26/02/2021 16:04:31;81,00
26/02/2021 16:04:33;49,00
26/02/2021 16:04:35;67,00
26/02/2021 16:04:37;87,00
26/02/2021 16:04:39;72,00
26/02/2021 16:04:45;43,00
26/02/2021 16:04:47;72,00
26/02/2021 16:04:49;80,00
26/02/2021 16:04:51;63,00
26/02/2021 16:04:53;73,00
26/02/2021 16:05:01;57,00
26/02/2021 16:05:03;52,00
26/02/2021 16:05:05;45,00
26/02/2021 16:05:07;69,00
26/02/2021 16:05:11;73,00
26/02/2021 16:05:15;47,00
26/02/2021 16:05:25;55,00
26/02/2021 16:05:29;61,00
26/02/2021 16:05:47;82,00
26/02/2021 16:05:49;79,00
26/02/2021 16:05:51;77,00
26/02/2021 16:05:55;56,00
26/02/2021 16:06:04;57,00
26/02/2021 16:06:08;53,00
26/02/2021 16:06:10;41,00
26/02/2021 16:06:12;45,00
26/02/2021 16:06:14;56,00
26/02/2021 16:06:22;71,00
26/02/2021 16:06:26;69,00
26/02/2021 16:06:28;89,00
26/02/2021 16:06:32;84,00
26/02/2021 16:06:34;74,00
26/02/2021 16:06:46;67,00
26/02/2021 16:06:48;75,00
26/02/2021 16:06:54;53,00
26/02/2021 16:07:00;45,00
26/02/2021 16:07:02;88,00
26/02/2021 16:07:06;68,00
26/02/2021 16:07:10;71,00
26/02/2021 16:07:12;43,00
26/02/2021 16:07:14;64,00
26/02/2021 16:07:16;84,00
26/02/2021 16:07:24;53,00
26/02/2021 16:07:28;52,00
26/02/2021 16:07:30;66,00
26/02/2021 16:07:32;76,00
26/02/2021 16:07:34;52,00
26/02/2021 16:07:36;42,00
26/02/2021 16:07:38;83,00
26/02/2021 16:07:44;69,00
26/02/2021 16:07:48;45,00
26/02/2021 16:07:52;56,00
26/02/2021 16:07:54;54,00
26/02/2021 16:07:58;60,00
26/02/2021 16:08:00;82,00
26/02/2021 16:08:16;77,00
26/02/2021 16:08:18;47,00
26/02/2021 16:08:22;66,00
26/02/2021 16:08:24;58,00
26/02/2021 16:08:26;48,00
26/02/2021 16:08:30;59,00
26/02/2021 16:08:39;68,00
26/02/2021 16:08:41;46,00
26/02/2021 16:08:43;41,00
26/02/2021 16:08:45;88,00
26/02/2021 16:08:49;82,00
26/02/2021 16:08:53;50,00
26/02/2021 16:08:55;80,00
26/02/2021 16:09:01;76,00
26/02/2021 16:09:03;75,00
26/02/2021 16:09:13;57,00
26/02/2021 16:09:15;58,00
26/02/2021 16:09:17;84,00
26/02/2021 16:09:21;77,00
26/02/2021 16:09:31;62,00
26/02/2021 16:09:35;75,00
26/02/2021 16:09:37;86,00
26/02/2021 16:09:43;45,00
26/02/2021 16:09:47;69,00
26/02/2021 16:09:51;75,00
26/02/2021 16:10:01;88,00
26/02/2021 16:10:03;83,00
26/02/2021 16:10:13;85,00
26/02/2021 16:10:15;73,00
26/02/2021 16:10:25;60,00
26/02/2021 16:10:27;51,00
26/02/2021 16:10:31;60,00
26/02/2021 16:10:33;57,00
26/02/2021 16:10:37;66,00
26/02/2021 16:10:39;84,00
