dd/MM/yyyy HH:mm:ss;CTC7,16
26/02/2021 16:02:12;6,00
26/02/2021 16:02:14;5,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;12,00
26/02/2021 16:02:22;13,00
26/02/2021 16:02:24;4,00
26/02/2021 16:02:26;1,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;3,00
26/02/2021 16:02:32;9,00
26/02/2021 16:02:34;14,00
26/02/2021 16:02:38;6,00
26/02/2021 16:02:40;1,00
26/02/2021 16:02:42;9,00
26/02/2021 16:02:44;4,00
26/02/2021 16:02:46;3,00
26/02/2021 16:02:48;9,00
26/02/2021 16:02:50;14,00
26/02/2021 16:02:52;0,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;3,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:02;6,00
26/02/2021 16:03:04;12,00
26/02/2021 16:03:06;10,00
26/02/2021 16:03:08;11,00
26/02/2021 16:03:10;1,00
26/02/2021 16:03:12;0,00
26/02/2021 16:03:14;7,00
26/02/2021 16:03:16;14,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;8,00
26/02/2021 16:03:22;4,00
26/02/2021 16:03:24;9,00
26/02/2021 16:03:26;8,00
26/02/2021 16:03:28;3,00
26/02/2021 16:03:30;0,00
26/02/2021 16:03:34;4,00
26/02/2021 16:03:39;7,00
26/02/2021 16:03:41;8,00
26/02/2021 16:03:43;7,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;3,00
26/02/2021 16:03:49;14,00
26/02/2021 16:03:51;6,00
26/02/2021 16:03:53;0,00
26/02/2021 16:03:55;2,00
26/02/2021 16:03:57;6,00
26/02/2021 16:03:59;8,00
26/02/2021 16:04:03;12,00
26/02/2021 16:04:05;7,00
26/02/2021 16:04:07;10,00
26/02/2021 16:04:09;9,00
26/02/2021 16:04:11;6,00
26/02/2021 16:04:13;1,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;14,00
26/02/2021 16:04:19;10,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;1,00
26/02/2021 16:04:25;4,00
26/02/2021 16:04:27;10,00
26/02/2021 16:04:29;5,00
26/02/2021 16:04:31;4,00
26/02/2021 16:04:33;10,00
26/02/2021 16:04:35;12,00
26/02/2021 16:04:37;10,00
26/02/2021 16:04:39;12,00
26/02/2021 16:04:41;5,00
26/02/2021 16:04:43;3,00
26/02/2021 16:04:45;0,00
26/02/2021 16:04:47;7,00
26/02/2021 16:04:49;6,00
26/02/2021 16:04:51;12,00
26/02/2021 16:04:53;6,00
26/02/2021 16:04:55;8,00
26/02/2021 16:04:57;13,00
26/02/2021 16:04:59;8,00
26/02/2021 16:05:01;14,00
26/02/2021 16:05:05;11,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:09;5,00
26/02/2021 16:05:11;0,00
26/02/2021 16:05:13;1,00
26/02/2021 16:05:15;3,00
26/02/2021 16:05:17;12,00
26/02/2021 16:05:21;4,00
26/02/2021 16:05:23;11,00
26/02/2021 16:05:25;8,00
26/02/2021 16:05:27;5,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;4,00
26/02/2021 16:05:33;1,00
26/02/2021 16:05:35;0,00
26/02/2021 16:05:37;4,00
26/02/2021 16:05:39;8,00
26/02/2021 16:05:41;7,00
26/02/2021 16:05:43;1,00
26/02/2021 16:05:45;0,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;12,00
26/02/2021 16:05:51;13,00
26/02/2021 16:05:53;6,00
26/02/2021 16:05:55;10,00
26/02/2021 16:05:57;8,00
26/02/2021 16:05:59;5,00
26/02/2021 16:06:01;4,00
26/02/2021 16:06:04;1,00
26/02/2021 16:06:05;2,00
26/02/2021 16:06:08;10,00
26/02/2021 16:06:10;1,00
26/02/2021 16:06:12;13,00
26/02/2021 16:06:14;5,00
26/02/2021 16:06:16;12,00
26/02/2021 16:06:20;1,00
26/02/2021 16:06:22;13,00
26/02/2021 16:06:24;8,00
26/02/2021 16:06:26;1,00
26/02/2021 16:06:28;5,00
26/02/2021 16:06:30;8,00
26/02/2021 16:06:32;0,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;3,00
26/02/2021 16:06:38;7,00
26/02/2021 16:06:40;6,00
26/02/2021 16:06:42;4,00
26/02/2021 16:06:44;9,00
26/02/2021 16:06:46;6,00
26/02/2021 16:06:48;3,00
26/02/2021 16:06:50;12,00
26/02/2021 16:06:52;2,00
26/02/2021 16:06:54;13,00
26/02/2021 16:06:56;6,00
26/02/2021 16:06:58;1,00
26/02/2021 16:07:00;12,00
26/02/2021 16:07:02;9,00
26/02/2021 16:07:04;6,00
26/02/2021 16:07:06;7,00
26/02/2021 16:07:08;5,00
26/02/2021 16:07:12;2,00
26/02/2021 16:07:14;3,00
26/02/2021 16:07:16;0,00
26/02/2021 16:07:18;9,00
26/02/2021 16:07:20;8,00
26/02/2021 16:07:22;5,00
26/02/2021 16:07:24;1,00
26/02/2021 16:07:26;4,00
26/02/2021 16:07:28;8,00
