dd/MM/yyyy HH:mm:ss;CTC4B,16
26/02/2021 16:02:12;9,00
26/02/2021 16:02:14;10,00
26/02/2021 16:02:16;12,00
26/02/2021 16:02:18;6,00
26/02/2021 16:02:20;14,00
26/02/2021 16:02:22;0,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;10,00
26/02/2021 16:02:28;12,00
26/02/2021 16:02:32;4,00
26/02/2021 16:02:34;1,00
26/02/2021 16:02:36;0,00
26/02/2021 16:02:38;3,00
26/02/2021 16:02:40;11,00
26/02/2021 16:02:42;6,00
26/02/2021 16:02:44;1,00
26/02/2021 16:02:46;11,00
26/02/2021 16:02:48;6,00
26/02/2021 16:02:50;12,00
26/02/2021 16:02:52;7,00
26/02/2021 16:02:54;6,00
26/02/2021 16:02:56;12,00
26/02/2021 16:02:58;3,00
26/02/2021 16:03:00;6,00
26/02/2021 16:03:02;4,00
26/02/2021 16:03:04;11,00
26/02/2021 16:03:06;3,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;8,00
26/02/2021 16:03:12;1,00
26/02/2021 16:03:14;0,00
26/02/2021 16:03:16;3,00
26/02/2021 16:03:18;8,00
26/02/2021 16:03:20;11,00
26/02/2021 16:03:22;1,00
26/02/2021 16:03:24;11,00
26/02/2021 16:03:26;0,00
26/02/2021 16:03:28;2,00
26/02/2021 16:03:30;8,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;7,00
26/02/2021 16:03:37;13,00
26/02/2021 16:03:39;14,00
26/02/2021 16:03:41;3,00
26/02/2021 16:03:45;4,00
26/02/2021 16:03:47;10,00
26/02/2021 16:03:49;6,00
26/02/2021 16:03:51;14,00
26/02/2021 16:03:53;5,00
26/02/2021 16:03:55;6,00
26/02/2021 16:03:57;0,00
26/02/2021 16:03:59;6,00
26/02/2021 16:04:01;5,00
26/02/2021 16:04:03;11,00
26/02/2021 16:04:05;6,00
26/02/2021 16:04:07;5,00
26/02/2021 16:04:09;12,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;12,00
26/02/2021 16:04:15;1,00
26/02/2021 16:04:17;8,00
26/02/2021 16:04:19;10,00
26/02/2021 16:04:25;5,00
26/02/2021 16:04:27;1,00
26/02/2021 16:04:29;10,00
26/02/2021 16:04:31;7,00
26/02/2021 16:04:33;5,00
26/02/2021 16:04:35;4,00
26/02/2021 16:04:37;10,00
26/02/2021 16:04:39;4,00
26/02/2021 16:04:41;13,00
26/02/2021 16:04:43;3,00
26/02/2021 16:04:45;11,00
26/02/2021 16:04:47;8,00
26/02/2021 16:04:49;7,00
26/02/2021 16:04:51;8,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;11,00
26/02/2021 16:04:57;3,00
26/02/2021 16:04:59;9,00
26/02/2021 16:05:01;6,00
26/02/2021 16:05:03;14,00
26/02/2021 16:05:05;9,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:09;4,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;4,00
26/02/2021 16:05:17;12,00
26/02/2021 16:05:19;13,00
26/02/2021 16:05:21;8,00
26/02/2021 16:05:23;5,00
26/02/2021 16:05:25;6,00
26/02/2021 16:05:27;9,00
26/02/2021 16:05:29;10,00
26/02/2021 16:05:31;3,00
26/02/2021 16:05:33;1,00
26/02/2021 16:05:35;7,00
26/02/2021 16:05:37;4,00
26/02/2021 16:05:39;6,00
26/02/2021 16:05:41;13,00
26/02/2021 16:05:43;1,00
26/02/2021 16:05:45;12,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;10,00
26/02/2021 16:05:51;1,00
26/02/2021 16:05:53;12,00
26/02/2021 16:05:57;10,00
26/02/2021 16:05:59;4,00
26/02/2021 16:06:01;0,00
26/02/2021 16:06:04;13,00
26/02/2021 16:06:05;6,00
26/02/2021 16:06:08;0,00
26/02/2021 16:06:10;11,00
26/02/2021 16:06:12;13,00
26/02/2021 16:06:14;2,00
26/02/2021 16:06:16;13,00
26/02/2021 16:06:18;9,00
26/02/2021 16:06:20;3,00
26/02/2021 16:06:22;0,00
26/02/2021 16:06:24;1,00
26/02/2021 16:06:26;3,00
26/02/2021 16:06:30;11,00
26/02/2021 16:06:32;5,00
26/02/2021 16:06:34;3,00
26/02/2021 16:06:36;6,00
26/02/2021 16:06:38;7,00
26/02/2021 16:06:40;6,00
26/02/2021 16:06:42;1,00
26/02/2021 16:06:44;0,00
26/02/2021 16:06:46;9,00
26/02/2021 16:06:48;1,00
26/02/2021 16:06:50;2,00
26/02/2021 16:06:52;13,00
26/02/2021 16:06:56;6,00
26/02/2021 16:06:58;7,00
26/02/2021 16:07:00;9,00
26/02/2021 16:07:02;4,00
26/02/2021 16:07:04;14,00
26/02/2021 16:07:06;7,00
26/02/2021 16:07:08;11,00
26/02/2021 16:07:10;3,00
26/02/2021 16:07:12;6,00
26/02/2021 16:07:14;13,00
26/02/2021 16:07:16;14,00
26/02/2021 16:07:18;4,00
26/02/2021 16:07:20;9,00
26/02/2021 16:07:24;14,00
26/02/2021 16:07:26;5,00
26/02/2021 16:07:28;2,00
26/02/2021 16:07:30;14,00
26/02/2021 16:07:32;2,00
26/02/2021 16:07:34;7,00
26/02/2021 16:07:36;13,00
26/02/2021 16:07:38;9,00
26/02/2021 16:07:42;2,00
26/02/2021 16:07:44;11,00
26/02/2021 16:07:46;0,00
26/02/2021 16:07:48;7,00
26/02/2021 16:07:50;1,00
26/02/2021 16:07:52;13,00
26/02/2021 16:07:54;12,00
26/02/2021 16:07:56;2,00
26/02/2021 16:07:58;0,00
26/02/2021 16:08:00;3,00
26/02/2021 16:08:04;10,00
26/02/2021 16:08:06;12,00
