dd/MM/yyyy HH:mm:ss;CTC5E,16
26/02/2021 16:02:12;14,00
26/02/2021 16:02:16;6,00
26/02/2021 16:02:18;1,00
26/02/2021 16:02:20;12,00
26/02/2021 16:02:22;2,00
26/02/2021 16:02:24;8,00
26/02/2021 16:02:26;4,00
26/02/2021 16:02:28;3,00
26/02/2021 16:02:30;4,00
26/02/2021 16:02:32;2,00
26/02/2021 16:02:36;9,00
26/02/2021 16:02:38;7,00
26/02/2021 16:02:40;10,00
26/02/2021 16:02:42;9,00
26/02/2021 16:02:44;0,00
26/02/2021 16:02:46;6,00
26/02/2021 16:02:48;3,00
26/02/2021 16:02:50;7,00
26/02/2021 16:02:52;4,00
26/02/2021 16:02:54;1,00
26/02/2021 16:02:56;0,00
26/02/2021 16:02:58;10,00
26/02/2021 16:03:00;6,00
26/02/2021 16:03:02;12,00
26/02/2021 16:03:04;10,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:08;11,00
26/02/2021 16:03:12;4,00
26/02/2021 16:03:14;13,00
26/02/2021 16:03:16;5,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;6,00
26/02/2021 16:03:24;3,00
26/02/2021 16:03:26;8,00
26/02/2021 16:03:28;14,00
26/02/2021 16:03:30;3,00
26/02/2021 16:03:32;7,00
26/02/2021 16:03:34;6,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:39;8,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;8,00
26/02/2021 16:03:45;0,00
26/02/2021 16:03:47;14,00
26/02/2021 16:03:49;6,00
26/02/2021 16:03:51;14,00
26/02/2021 16:03:55;5,00
26/02/2021 16:03:57;0,00
26/02/2021 16:03:59;11,00
26/02/2021 16:04:01;0,00
26/02/2021 16:04:03;6,00
26/02/2021 16:04:05;5,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:13;10,00
26/02/2021 16:04:15;8,00
26/02/2021 16:04:17;2,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;5,00
26/02/2021 16:04:25;0,00
26/02/2021 16:04:27;3,00
26/02/2021 16:04:29;4,00
26/02/2021 16:04:31;5,00
26/02/2021 16:04:33;9,00
26/02/2021 16:04:35;1,00
26/02/2021 16:04:37;3,00
26/02/2021 16:04:39;4,00
26/02/2021 16:04:41;10,00
26/02/2021 16:04:43;3,00
26/02/2021 16:04:45;13,00
26/02/2021 16:04:47;10,00
26/02/2021 16:04:49;8,00
26/02/2021 16:04:51;1,00
26/02/2021 16:04:53;12,00
26/02/2021 16:04:55;6,00
26/02/2021 16:04:59;7,00
26/02/2021 16:05:01;11,00
26/02/2021 16:05:03;2,00
26/02/2021 16:05:05;6,00
26/02/2021 16:05:07;5,00
26/02/2021 16:05:13;2,00
26/02/2021 16:05:15;7,00
26/02/2021 16:05:17;5,00
26/02/2021 16:05:19;11,00
26/02/2021 16:05:21;12,00
26/02/2021 16:05:23;9,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;2,00
26/02/2021 16:05:29;4,00
26/02/2021 16:05:31;5,00
26/02/2021 16:05:33;14,00
26/02/2021 16:05:35;3,00
26/02/2021 16:05:37;4,00
26/02/2021 16:05:39;12,00
26/02/2021 16:05:41;5,00
26/02/2021 16:05:43;2,00
26/02/2021 16:05:45;8,00
26/02/2021 16:05:47;9,00
26/02/2021 16:05:49;13,00
26/02/2021 16:05:51;4,00
26/02/2021 16:05:53;9,00
26/02/2021 16:05:55;11,00
26/02/2021 16:05:57;9,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;5,00
26/02/2021 16:06:04;13,00
26/02/2021 16:06:05;5,00
26/02/2021 16:06:08;12,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:12;1,00
26/02/2021 16:06:14;3,00
26/02/2021 16:06:16;6,00
26/02/2021 16:06:18;2,00
26/02/2021 16:06:20;10,00
26/02/2021 16:06:22;2,00
26/02/2021 16:06:24;14,00
26/02/2021 16:06:26;11,00
26/02/2021 16:06:28;6,00
26/02/2021 16:06:30;8,00
26/02/2021 16:06:32;6,00
26/02/2021 16:06:34;0,00
26/02/2021 16:06:36;5,00
26/02/2021 16:06:38;7,00
26/02/2021 16:06:40;4,00
26/02/2021 16:06:42;3,00
26/02/2021 16:06:44;0,00
26/02/2021 16:06:46;13,00
26/02/2021 16:06:48;9,00
26/02/2021 16:06:50;10,00
26/02/2021 16:06:52;5,00
26/02/2021 16:06:54;14,00
26/02/2021 16:06:56;0,00
26/02/2021 16:06:58;13,00
26/02/2021 16:07:00;5,00
26/02/2021 16:07:02;12,00
26/02/2021 16:07:04;5,00
26/02/2021 16:07:06;0,00
26/02/2021 16:07:08;2,00
26/02/2021 16:07:10;14,00
26/02/2021 16:07:12;4,00
26/02/2021 16:07:14;5,00
26/02/2021 16:07:16;7,00
26/02/2021 16:07:18;10,00
26/02/2021 16:07:20;5,00
26/02/2021 16:07:22;13,00
26/02/2021 16:07:24;14,00
26/02/2021 16:07:26;0,00
26/02/2021 16:07:28;5,00
26/02/2021 16:07:30;0,00
26/02/2021 16:07:32;5,00
26/02/2021 16:07:34;11,00
26/02/2021 16:07:36;14,00
26/02/2021 16:07:38;3,00
26/02/2021 16:07:40;1,00
26/02/2021 16:07:42;0,00
26/02/2021 16:07:44;14,00
26/02/2021 16:07:46;2,00
26/02/2021 16:07:48;14,00
26/02/2021 16:07:50;1,00
26/02/2021 16:07:52;13,00
26/02/2021 16:07:54;9,00
26/02/2021 16:07:56;6,00
26/02/2021 16:07:58;3,00
26/02/2021 16:08:00;5,00
26/02/2021 16:08:02;4,00
26/02/2021 16:08:04;0,00
26/02/2021 16:08:06;1,00
26/02/2021 16:08:08;0,00
26/02/2021 16:08:10;2,00
26/02/2021 16:08:12;6,00
26/02/2021 16:08:14;0,00
26/02/2021 16:08:16;14,00
26/02/2021 16:08:18;0,00
26/02/2021 16:08:20;1,00
26/02/2021 16:08:24;11,00
26/02/2021 16:08:26;13,00
26/02/2021 16:08:28;10,00
26/02/2021 16:08:30;1,00
26/02/2021 16:08:33;9,00
26/02/2021 16:08:34;14,00
26/02/2021 16:08:37;7,00
26/02/2021 16:08:39;14,00
26/02/2021 16:08:41;4,00
26/02/2021 16:08:43;7,00
26/02/2021 16:08:45;9,00
26/02/2021 16:08:47;11,00
26/02/2021 16:08:49;14,00
26/02/2021 16:08:51;11,00
26/02/2021 16:08:53;2,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:57;10,00
26/02/2021 16:08:59;12,00
26/02/2021 16:09:01;6,00
26/02/2021 16:09:03;13,00
26/02/2021 16:09:05;10,00
26/02/2021 16:09:07;6,00
26/02/2021 16:09:09;7,00
26/02/2021 16:09:11;1,00
26/02/2021 16:09:13;14,00
26/02/2021 16:09:15;3,00
26/02/2021 16:09:17;14,00
26/02/2021 16:09:19;7,00
