dd/MM/yyyy HH:mm:ss;CTC3,12
26/02/2021 08:31:06;426,00
26/02/2021 08:32:25;428,00
26/02/2021 08:38:22;430,00
26/02/2021 08:39:23;432,00
26/02/2021 08:42:57;434,00
26/02/2021 08:43:57;436,00
26/02/2021 08:45:57;438,00
26/02/2021 08:47:57;440,00
26/02/2021 08:49:58;442,00
26/02/2021 08:53:26;444,00
26/02/2021 08:54:26;446,00
26/02/2021 08:56:26;448,00
26/02/2021 08:58:27;450,00
26/02/2021 09:00:40;450,00
26/02/2021 09:01:52;452,00
26/02/2021 09:04:27;452,00
26/02/2021 09:05:34;454,00
26/02/2021 09:08:35;456,00
26/02/2021 09:12:25;456,00
26/02/2021 09:13:33;458,00
26/02/2021 09:16:33;460,00
26/02/2021 09:18:34;462,00
26/02/2021 09:22:40;464,00
26/02/2021 09:23:41;466,00
26/02/2021 09:25:41;468,00
26/02/2021 09:27:42;470,00
26/02/2021 09:29:42;472,00
26/02/2021 09:33:28;474,00
26/02/2021 09:34:29;476,00
26/02/2021 09:36:29;478,00
26/02/2021 09:38:30;480,00
26/02/2021 09:40:30;482,00
26/02/2021 09:50:29;482,00
26/02/2021 09:51:36;484,00
26/02/2021 10:03:19;486,00
26/02/2021 10:08:58;488,00
26/02/2021 10:09:58;490,00
26/02/2021 10:11:59;492,00
26/02/2021 10:13:59;494,00
26/02/2021 10:29:39;496,00
26/02/2021 10:34:24;496,00
26/02/2021 10:35:31;498,00
26/02/2021 10:41:26;498,00
26/02/2021 10:42:33;500,00
26/02/2021 10:54:52;500,00
26/02/2021 10:56:00;502,00
26/02/2021 10:56:32;502,00
26/02/2021 10:59:48;502,00
26/02/2021 11:05:05;504,00
26/02/2021 11:06:05;506,00
26/02/2021 11:08:06;508,00
26/02/2021 11:10:06;510,00
26/02/2021 11:12:07;512,00
26/02/2021 11:36:52;512,00
26/02/2021 11:38:00;514,00
26/02/2021 11:42:29;514,00
26/02/2021 11:43:37;516,00
26/02/2021 11:46:37;518,00
26/02/2021 11:49:44;520,00
26/02/2021 11:52:18;522,00
26/02/2021 11:53:18;524,00
26/02/2021 11:55:19;526,00
26/02/2021 11:59:49;526,00
26/02/2021 12:00:56;528,00
26/02/2021 12:03:56;530,00
26/02/2021 12:05:57;532,00
26/02/2021 12:07:11;532,00
26/02/2021 12:08:19;534,00
26/02/2021 12:11:19;536,00
26/02/2021 12:15:39;536,00
26/02/2021 12:16:46;538,00
26/02/2021 12:18:53;538,00
26/02/2021 12:24:56;538,00
26/02/2021 12:26:04;540,00
26/02/2021 12:31:07;542,00
26/02/2021 12:32:08;544,00
26/02/2021 12:37:03;546,00
26/02/2021 12:38:03;548,00
26/02/2021 14:25:19;548,00
26/02/2021 14:26:27;550,00
26/02/2021 14:31:10;552,00
26/02/2021 14:32:10;554,00
26/02/2021 14:34:14;554,00
26/02/2021 14:35:21;556,00
26/02/2021 14:39:01;556,00
26/02/2021 14:40:09;558,00
26/02/2021 14:45:00;560,00
26/02/2021 14:46:00;562,00
26/02/2021 14:49:44;564,00
26/02/2021 14:50:45;566,00
26/02/2021 14:54:41;568,00
26/02/2021 14:57:26;570,00
26/02/2021 15:00:14;572,00
26/02/2021 15:02:59;574,00
26/02/2021 15:03:59;576,00
26/02/2021 15:07:57;578,00
26/02/2021 15:10:30;580,00
26/02/2021 15:13:09;582,00
26/02/2021 15:15:42;584,00
26/02/2021 15:16:42;586,00
26/02/2021 15:20:23;588,00
26/02/2021 15:23:02;590,00
26/02/2021 15:24:02;592,00
26/02/2021 15:25:38;592,00
26/02/2021 15:26:14;592,00
26/02/2021 15:27:28;592,00
26/02/2021 15:28:36;594,00
26/02/2021 15:28:53;594,00
26/02/2021 15:34:17;594,00
26/02/2021 15:35:25;596,00
26/02/2021 15:38:25;598,00
26/02/2021 15:40:25;600,00
26/02/2021 15:42:25;602,00
26/02/2021 15:44:26;604,00
26/02/2021 15:46:26;606,00
26/02/2021 15:48:26;608,00
26/02/2021 15:50:27;610,00
26/02/2021 15:52:27;612,00
26/02/2021 15:57:28;612,00
26/02/2021 15:58:36;614,00
26/02/2021 16:01:36;616,00
26/02/2021 16:05:57;618,00
26/02/2021 16:10:02;620,00
26/02/2021 16:11:02;622,00
26/02/2021 16:14:53;622,00
26/02/2021 16:16:00;624,00
26/02/2021 16:19:00;626,00
26/02/2021 16:21:01;628,00
26/02/2021 16:25:51;630,00
26/02/2021 16:26:51;632,00
26/02/2021 16:28:52;634,00
26/02/2021 16:30:52;636,00
26/02/2021 16:32:52;638,00
26/02/2021 16:39:00;640,00
26/02/2021 16:40:00;642,00
26/02/2021 16:42:00;644,00
26/02/2021 16:46:28;646,00
26/02/2021 16:47:28;648,00
26/02/2021 16:49:29;650,00
26/02/2021 16:51:29;652,00
26/02/2021 16:53:29;654,00
26/02/2021 16:57:59;656,00
26/02/2021 16:58:59;658,00
26/02/2021 17:00:59;660,00
26/02/2021 17:02:59;662,00
