dd/MM/yyyy HH:mm:ss;CTC24,16
26/02/2021 16:02:12;11,00
26/02/2021 16:02:14;0,00
26/02/2021 16:02:16;13,00
26/02/2021 16:02:20;9,00
26/02/2021 16:02:22;14,00
26/02/2021 16:02:24;5,00
26/02/2021 16:02:26;8,00
26/02/2021 16:02:28;5,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;7,00
26/02/2021 16:02:34;3,00
26/02/2021 16:02:36;10,00
26/02/2021 16:02:40;2,00
26/02/2021 16:02:42;6,00
26/02/2021 16:02:44;14,00
26/02/2021 16:02:46;10,00
26/02/2021 16:02:48;6,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;11,00
26/02/2021 16:02:54;9,00
26/02/2021 16:02:56;4,00
26/02/2021 16:03:00;12,00
26/02/2021 16:03:02;8,00
26/02/2021 16:03:04;4,00
26/02/2021 16:03:06;1,00
26/02/2021 16:03:08;13,00
26/02/2021 16:03:10;3,00
26/02/2021 16:03:12;12,00
26/02/2021 16:03:14;5,00
26/02/2021 16:03:16;2,00
26/02/2021 16:03:18;5,00
26/02/2021 16:03:20;0,00
26/02/2021 16:03:22;4,00
26/02/2021 16:03:24;1,00
26/02/2021 16:03:30;6,00
26/02/2021 16:03:32;11,00
26/02/2021 16:03:34;5,00
26/02/2021 16:03:37;14,00
26/02/2021 16:03:39;11,00
26/02/2021 16:03:41;12,00
26/02/2021 16:03:43;2,00
26/02/2021 16:03:45;10,00
26/02/2021 16:03:47;13,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;3,00
26/02/2021 16:03:53;7,00
26/02/2021 16:03:55;13,00
26/02/2021 16:03:57;11,00
26/02/2021 16:04:01;4,00
26/02/2021 16:04:03;5,00
26/02/2021 16:04:05;7,00
26/02/2021 16:04:07;0,00
26/02/2021 16:04:09;4,00
26/02/2021 16:04:11;5,00
26/02/2021 16:04:13;14,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:19;14,00
26/02/2021 16:04:21;10,00
26/02/2021 16:04:23;13,00
26/02/2021 16:04:27;7,00
26/02/2021 16:04:31;1,00
26/02/2021 16:04:33;5,00
26/02/2021 16:04:35;13,00
26/02/2021 16:04:37;5,00
26/02/2021 16:04:39;4,00
26/02/2021 16:04:41;2,00
26/02/2021 16:04:43;0,00
26/02/2021 16:04:45;6,00
26/02/2021 16:04:47;0,00
26/02/2021 16:04:49;4,00
26/02/2021 16:04:51;3,00
26/02/2021 16:04:53;9,00
26/02/2021 16:04:55;5,00
26/02/2021 16:04:59;10,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:03;1,00
26/02/2021 16:05:05;3,00
26/02/2021 16:05:07;9,00
26/02/2021 16:05:11;14,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;0,00
26/02/2021 16:05:17;14,00
26/02/2021 16:05:19;0,00
26/02/2021 16:05:23;8,00
26/02/2021 16:05:25;11,00
26/02/2021 16:05:27;2,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;12,00
26/02/2021 16:05:33;2,00
26/02/2021 16:05:37;10,00
26/02/2021 16:05:39;11,00
26/02/2021 16:05:41;7,00
26/02/2021 16:05:43;6,00
26/02/2021 16:05:45;14,00
26/02/2021 16:05:49;6,00
26/02/2021 16:05:51;3,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;2,00
26/02/2021 16:05:57;13,00
26/02/2021 16:05:59;12,00
26/02/2021 16:06:01;7,00
26/02/2021 16:06:05;14,00
26/02/2021 16:06:08;2,00
26/02/2021 16:06:10;3,00
26/02/2021 16:06:12;4,00
26/02/2021 16:06:14;2,00
26/02/2021 16:06:16;14,00
26/02/2021 16:06:20;12,00
26/02/2021 16:06:22;2,00
26/02/2021 16:06:24;11,00
26/02/2021 16:06:26;1,00
26/02/2021 16:06:28;5,00
26/02/2021 16:06:30;6,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;2,00
26/02/2021 16:06:38;12,00
26/02/2021 16:06:40;1,00
26/02/2021 16:06:42;9,00
26/02/2021 16:06:44;1,00
26/02/2021 16:06:46;13,00
26/02/2021 16:06:48;14,00
26/02/2021 16:06:52;3,00
26/02/2021 16:06:58;6,00
26/02/2021 16:07:00;12,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;11,00
26/02/2021 16:07:06;2,00
26/02/2021 16:07:08;12,00
26/02/2021 16:07:10;13,00
26/02/2021 16:07:12;5,00
26/02/2021 16:07:14;7,00
26/02/2021 16:07:18;2,00
26/02/2021 16:07:20;6,00
26/02/2021 16:07:22;0,00
26/02/2021 16:07:24;2,00
26/02/2021 16:07:26;11,00
26/02/2021 16:07:28;7,00
26/02/2021 16:07:30;11,00
26/02/2021 16:07:32;0,00
26/02/2021 16:07:34;4,00
26/02/2021 16:07:36;11,00
26/02/2021 16:07:38;2,00
26/02/2021 16:07:40;14,00
26/02/2021 16:07:42;7,00
26/02/2021 16:07:44;13,00
26/02/2021 16:07:46;9,00
26/02/2021 16:07:48;5,00
26/02/2021 16:07:50;9,00
26/02/2021 16:07:52;5,00
26/02/2021 16:07:54;4,00
26/02/2021 16:07:56;8,00
26/02/2021 16:07:58;9,00
26/02/2021 16:08:00;8,00
26/02/2021 16:08:02;0,00
26/02/2021 16:08:04;10,00
26/02/2021 16:08:06;12,00
26/02/2021 16:08:08;3,00
26/02/2021 16:08:10;1,00
26/02/2021 16:08:12;6,00
26/02/2021 16:08:14;9,00
26/02/2021 16:08:16;1,00
26/02/2021 16:08:18;11,00
26/02/2021 16:08:20;12,00
26/02/2021 16:08:22;8,00
26/02/2021 16:08:24;10,00
26/02/2021 16:08:26;3,00
26/02/2021 16:08:28;6,00
26/02/2021 16:08:30;13,00
26/02/2021 16:08:33;10,00
26/02/2021 16:08:34;4,00
26/02/2021 16:08:37;0,00
26/02/2021 16:08:39;2,00
26/02/2021 16:08:41;13,00
26/02/2021 16:08:43;9,00
26/02/2021 16:08:45;3,00
26/02/2021 16:08:47;11,00
26/02/2021 16:08:49;7,00
26/02/2021 16:08:51;0,00
26/02/2021 16:08:53;13,00
26/02/2021 16:08:55;8,00
26/02/2021 16:08:57;0,00
26/02/2021 16:08:59;4,00
26/02/2021 16:09:01;0,00
26/02/2021 16:09:03;2,00
26/02/2021 16:09:05;12,00
26/02/2021 16:09:07;8,00
26/02/2021 16:09:09;7,00
26/02/2021 16:09:11;11,00
26/02/2021 16:09:13;4,00
26/02/2021 16:09:15;3,00
26/02/2021 16:09:17;5,00
26/02/2021 16:09:19;14,00
26/02/2021 16:09:21;3,00
26/02/2021 16:09:23;6,00
26/02/2021 16:09:25;5,00
26/02/2021 16:09:27;2,00
26/02/2021 16:09:29;1,00
26/02/2021 16:09:31;9,00
26/02/2021 16:09:33;13,00
26/02/2021 16:09:35;9,00
26/02/2021 16:09:37;12,00
26/02/2021 16:09:39;7,00
26/02/2021 16:09:41;9,00
26/02/2021 16:09:43;12,00
26/02/2021 16:09:45;0,00
26/02/2021 16:09:47;2,00
26/02/2021 16:09:49;3,00
26/02/2021 16:09:51;11,00
26/02/2021 16:09:53;7,00
26/02/2021 16:09:55;5,00
26/02/2021 16:09:57;12,00
26/02/2021 16:09:59;2,00
26/02/2021 16:10:01;14,00
26/02/2021 16:10:03;4,00
26/02/2021 16:10:05;5,00
26/02/2021 16:10:07;6,00
26/02/2021 16:10:09;7,00
26/02/2021 16:10:13;9,00
26/02/2021 16:10:15;6,00
26/02/2021 16:10:17;5,00
26/02/2021 16:10:19;8,00
26/02/2021 16:10:21;9,00
26/02/2021 16:10:23;4,00
26/02/2021 16:10:27;6,00
26/02/2021 16:10:31;13,00
26/02/2021 16:10:33;7,00
26/02/2021 16:10:35;12,00
26/02/2021 16:10:37;0,00
26/02/2021 16:10:39;7,00
26/02/2021 16:10:41;0,00
26/02/2021 16:10:44;6,00
26/02/2021 16:10:46;12,00
26/02/2021 16:10:48;7,00
26/02/2021 16:10:50;5,00
26/02/2021 16:10:52;11,00
26/02/2021 16:10:54;8,00
26/02/2021 16:10:56;6,00
26/02/2021 16:10:58;12,00
26/02/2021 16:11:00;2,00
26/02/2021 16:11:02;7,00
26/02/2021 16:11:04;2,00
26/02/2021 16:11:06;8,00
26/02/2021 16:11:08;7,00
26/02/2021 16:11:10;12,00
26/02/2021 16:11:12;2,00
26/02/2021 16:11:14;6,00
26/02/2021 16:11:16;9,00
26/02/2021 16:11:18;0,00
26/02/2021 16:11:20;14,00
26/02/2021 16:11:22;3,00
26/02/2021 16:11:24;12,00
26/02/2021 16:11:26;10,00
26/02/2021 16:11:28;14,00
26/02/2021 16:11:30;8,00
26/02/2021 16:11:32;6,00
26/02/2021 16:11:34;9,00
26/02/2021 16:11:36;6,00
26/02/2021 16:11:38;4,00
26/02/2021 16:11:40;2,00
26/02/2021 16:11:42;0,00
26/02/2021 16:11:44;10,00
26/02/2021 16:11:46;13,00
26/02/2021 16:11:48;14,00
26/02/2021 16:11:50;3,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;11,00
26/02/2021 16:11:56;5,00
26/02/2021 16:11:58;13,00
26/02/2021 16:12:00;1,00
26/02/2021 16:12:02;10,00
26/02/2021 16:12:04;9,00
26/02/2021 16:12:06;11,00
26/02/2021 16:12:08;1,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:14;5,00
26/02/2021 16:12:16;3,00
26/02/2021 16:12:18;11,00
26/02/2021 16:12:20;3,00
26/02/2021 16:12:22;0,00
