dd/MM/yyyy HH:mm:ss;CTC2I,16
26/02/2021 16:02:12;12,00
26/02/2021 16:02:14;9,00
26/02/2021 16:02:16;4,00
26/02/2021 16:02:18;6,00
26/02/2021 16:02:20;0,00
26/02/2021 16:02:22;11,00
26/02/2021 16:02:24;0,00
26/02/2021 16:02:26;7,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;2,00
26/02/2021 16:02:32;3,00
26/02/2021 16:02:34;12,00
26/02/2021 16:02:36;0,00
26/02/2021 16:02:38;2,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;11,00
26/02/2021 16:02:44;9,00
26/02/2021 16:02:46;4,00
26/02/2021 16:02:48;10,00
26/02/2021 16:02:50;4,00
26/02/2021 16:02:54;13,00
26/02/2021 16:02:56;9,00
26/02/2021 16:02:58;14,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;3,00
26/02/2021 16:03:06;6,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;10,00
26/02/2021 16:03:12;11,00
26/02/2021 16:03:14;7,00
26/02/2021 16:03:16;8,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;5,00
26/02/2021 16:03:22;13,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;5,00
26/02/2021 16:03:28;10,00
26/02/2021 16:03:30;2,00
26/02/2021 16:03:32;4,00
26/02/2021 16:03:34;11,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:39;4,00
26/02/2021 16:03:41;1,00
26/02/2021 16:03:45;13,00
26/02/2021 16:03:47;12,00
26/02/2021 16:03:49;7,00
26/02/2021 16:03:51;6,00
26/02/2021 16:03:53;4,00
26/02/2021 16:03:55;0,00
26/02/2021 16:03:59;7,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:03;6,00
26/02/2021 16:04:05;11,00
26/02/2021 16:04:07;6,00
26/02/2021 16:04:09;2,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;9,00
26/02/2021 16:04:17;11,00
26/02/2021 16:04:19;4,00
26/02/2021 16:04:21;5,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:25;3,00
26/02/2021 16:04:27;5,00
26/02/2021 16:04:29;9,00
26/02/2021 16:04:31;6,00
26/02/2021 16:04:33;11,00
26/02/2021 16:04:35;14,00
26/02/2021 16:04:37;6,00
26/02/2021 16:04:39;12,00
26/02/2021 16:04:41;8,00
26/02/2021 16:04:45;5,00
26/02/2021 16:04:47;8,00
26/02/2021 16:04:49;14,00
26/02/2021 16:04:51;11,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;6,00
26/02/2021 16:04:57;2,00
26/02/2021 16:04:59;14,00
26/02/2021 16:05:01;3,00
26/02/2021 16:05:03;0,00
26/02/2021 16:05:05;5,00
26/02/2021 16:05:07;12,00
26/02/2021 16:05:09;10,00
26/02/2021 16:05:13;9,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;3,00
26/02/2021 16:05:19;8,00
26/02/2021 16:05:21;13,00
26/02/2021 16:05:23;10,00
26/02/2021 16:05:25;1,00
26/02/2021 16:05:27;8,00
26/02/2021 16:05:29;2,00
26/02/2021 16:05:31;10,00
26/02/2021 16:05:33;11,00
26/02/2021 16:05:35;14,00
26/02/2021 16:05:37;3,00
26/02/2021 16:05:39;10,00
26/02/2021 16:05:41;7,00
26/02/2021 16:05:45;1,00
26/02/2021 16:05:47;7,00
26/02/2021 16:05:49;6,00
26/02/2021 16:05:51;10,00
26/02/2021 16:05:53;11,00
26/02/2021 16:05:55;7,00
26/02/2021 16:05:57;4,00
26/02/2021 16:05:59;0,00
26/02/2021 16:06:01;13,00
26/02/2021 16:06:04;1,00
26/02/2021 16:06:05;9,00
26/02/2021 16:06:08;5,00
26/02/2021 16:06:12;9,00
26/02/2021 16:06:14;4,00
26/02/2021 16:06:16;9,00
26/02/2021 16:06:18;13,00
26/02/2021 16:06:20;2,00
26/02/2021 16:06:22;10,00
26/02/2021 16:06:24;8,00
26/02/2021 16:06:26;5,00
26/02/2021 16:06:28;9,00
26/02/2021 16:06:30;2,00
26/02/2021 16:06:32;13,00
26/02/2021 16:06:34;4,00
26/02/2021 16:06:36;6,00
26/02/2021 16:06:38;4,00
26/02/2021 16:06:40;5,00
26/02/2021 16:06:42;0,00
26/02/2021 16:06:44;5,00
26/02/2021 16:06:46;7,00
26/02/2021 16:06:48;10,00
26/02/2021 16:06:50;8,00
26/02/2021 16:06:52;1,00
26/02/2021 16:06:54;14,00
26/02/2021 16:06:56;3,00
26/02/2021 16:06:58;10,00
26/02/2021 16:07:00;13,00
26/02/2021 16:07:02;3,00
26/02/2021 16:07:04;12,00
26/02/2021 16:07:06;4,00
26/02/2021 16:07:08;2,00
26/02/2021 16:07:10;10,00
26/02/2021 16:07:12;14,00
26/02/2021 16:07:14;8,00
26/02/2021 16:07:16;7,00
26/02/2021 16:07:18;8,00
26/02/2021 16:07:20;7,00
26/02/2021 16:07:22;6,00
26/02/2021 16:07:24;1,00
26/02/2021 16:07:26;13,00
26/02/2021 16:07:30;4,00
26/02/2021 16:07:32;3,00
26/02/2021 16:07:34;5,00
26/02/2021 16:07:36;2,00
26/02/2021 16:07:38;11,00
26/02/2021 16:07:40;10,00
26/02/2021 16:07:42;7,00
26/02/2021 16:07:44;6,00
26/02/2021 16:07:46;14,00
26/02/2021 16:07:48;12,00
26/02/2021 16:07:50;7,00
26/02/2021 16:07:52;12,00
26/02/2021 16:07:54;7,00
26/02/2021 16:07:56;12,00
26/02/2021 16:07:58;3,00
26/02/2021 16:08:02;2,00
26/02/2021 16:08:04;11,00
26/02/2021 16:08:06;3,00
26/02/2021 16:08:08;7,00
26/02/2021 16:08:10;1,00
26/02/2021 16:08:14;6,00
26/02/2021 16:08:16;1,00
26/02/2021 16:08:18;12,00
26/02/2021 16:08:20;1,00
26/02/2021 16:08:22;2,00
26/02/2021 16:08:24;10,00
26/02/2021 16:08:26;11,00
26/02/2021 16:08:28;0,00
26/02/2021 16:08:30;7,00
26/02/2021 16:08:33;6,00
26/02/2021 16:08:34;5,00
26/02/2021 16:08:37;6,00
26/02/2021 16:08:39;10,00
26/02/2021 16:08:41;8,00
26/02/2021 16:08:43;5,00
26/02/2021 16:08:45;0,00
26/02/2021 16:08:47;14,00
26/02/2021 16:08:49;11,00
26/02/2021 16:08:51;5,00
