dd/MM/yyyy HH:mm:ss;CTC2J,16
26/02/2021 16:02:12;3,00
26/02/2021 16:02:14;0,00
26/02/2021 16:02:16;1,00
26/02/2021 16:02:18;9,00
26/02/2021 16:02:20;14,00
26/02/2021 16:02:22;4,00
26/02/2021 16:02:24;0,00
26/02/2021 16:02:26;2,00
26/02/2021 16:02:28;0,00
26/02/2021 16:02:30;12,00
26/02/2021 16:02:32;1,00
26/02/2021 16:02:34;8,00
26/02/2021 16:02:36;11,00
26/02/2021 16:02:38;12,00
26/02/2021 16:02:40;13,00
26/02/2021 16:02:42;2,00
26/02/2021 16:02:44;4,00
26/02/2021 16:02:46;5,00
26/02/2021 16:02:48;3,00
26/02/2021 16:02:50;10,00
26/02/2021 16:02:52;4,00
26/02/2021 16:02:54;13,00
26/02/2021 16:02:56;4,00
26/02/2021 16:02:58;8,00
26/02/2021 16:03:00;11,00
26/02/2021 16:03:02;2,00
26/02/2021 16:03:04;9,00
26/02/2021 16:03:06;14,00
26/02/2021 16:03:10;11,00
26/02/2021 16:03:14;6,00
26/02/2021 16:03:16;7,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;1,00
26/02/2021 16:03:22;0,00
26/02/2021 16:03:24;9,00
26/02/2021 16:03:26;6,00
26/02/2021 16:03:28;14,00
26/02/2021 16:03:30;9,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;2,00
26/02/2021 16:03:37;9,00
26/02/2021 16:03:39;13,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;11,00
26/02/2021 16:03:45;12,00
26/02/2021 16:03:47;13,00
26/02/2021 16:03:49;1,00
26/02/2021 16:03:51;11,00
26/02/2021 16:03:53;7,00
26/02/2021 16:03:55;6,00
26/02/2021 16:03:57;2,00
26/02/2021 16:03:59;9,00
26/02/2021 16:04:01;0,00
26/02/2021 16:04:03;5,00
26/02/2021 16:04:05;13,00
26/02/2021 16:04:07;0,00
26/02/2021 16:04:09;10,00
26/02/2021 16:04:11;4,00
26/02/2021 16:04:13;0,00
26/02/2021 16:04:15;4,00
26/02/2021 16:04:17;0,00
26/02/2021 16:04:19;5,00
26/02/2021 16:04:21;12,00
26/02/2021 16:04:23;3,00
26/02/2021 16:04:25;5,00
26/02/2021 16:04:27;12,00
26/02/2021 16:04:29;10,00
26/02/2021 16:04:31;3,00
26/02/2021 16:04:33;11,00
26/02/2021 16:04:35;10,00
26/02/2021 16:04:37;13,00
26/02/2021 16:04:39;11,00
26/02/2021 16:04:41;5,00
26/02/2021 16:04:43;6,00
26/02/2021 16:04:45;7,00
26/02/2021 16:04:47;5,00
26/02/2021 16:04:49;10,00
26/02/2021 16:04:51;6,00
26/02/2021 16:04:53;0,00
26/02/2021 16:04:55;2,00
26/02/2021 16:04:57;12,00
26/02/2021 16:04:59;3,00
26/02/2021 16:05:01;14,00
26/02/2021 16:05:03;9,00
26/02/2021 16:05:05;4,00
26/02/2021 16:05:07;5,00
26/02/2021 16:05:09;11,00
26/02/2021 16:05:11;0,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;4,00
26/02/2021 16:05:19;10,00
26/02/2021 16:05:21;3,00
26/02/2021 16:05:25;9,00
26/02/2021 16:05:27;8,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;12,00
26/02/2021 16:05:33;0,00
26/02/2021 16:05:35;8,00
26/02/2021 16:05:37;12,00
26/02/2021 16:05:39;11,00
26/02/2021 16:05:41;14,00
26/02/2021 16:05:43;2,00
26/02/2021 16:05:45;11,00
26/02/2021 16:05:47;2,00
26/02/2021 16:05:49;13,00
26/02/2021 16:05:51;7,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;10,00
26/02/2021 16:05:57;7,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;11,00
26/02/2021 16:06:04;5,00
26/02/2021 16:06:05;13,00
26/02/2021 16:06:12;9,00
26/02/2021 16:06:16;14,00
26/02/2021 16:06:18;5,00
26/02/2021 16:06:22;10,00
26/02/2021 16:06:24;3,00
26/02/2021 16:06:26;13,00
26/02/2021 16:06:30;6,00
26/02/2021 16:06:32;0,00
26/02/2021 16:06:34;7,00
26/02/2021 16:06:36;1,00
26/02/2021 16:06:38;3,00
26/02/2021 16:06:40;9,00
26/02/2021 16:06:42;0,00
26/02/2021 16:06:44;2,00
26/02/2021 16:06:46;7,00
26/02/2021 16:06:50;14,00
26/02/2021 16:06:52;9,00
26/02/2021 16:06:54;3,00
26/02/2021 16:06:56;5,00
26/02/2021 16:06:58;13,00
26/02/2021 16:07:00;9,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;8,00
26/02/2021 16:07:06;2,00
26/02/2021 16:07:08;13,00
26/02/2021 16:07:10;9,00
26/02/2021 16:07:12;5,00
26/02/2021 16:07:14;2,00
26/02/2021 16:07:16;12,00
26/02/2021 16:07:20;10,00
26/02/2021 16:07:22;8,00
26/02/2021 16:07:24;9,00
26/02/2021 16:07:26;14,00
26/02/2021 16:07:30;1,00
26/02/2021 16:07:32;12,00
26/02/2021 16:07:34;13,00
26/02/2021 16:07:36;12,00
26/02/2021 16:07:38;9,00
26/02/2021 16:07:42;7,00
26/02/2021 16:07:44;14,00
26/02/2021 16:07:46;4,00
26/02/2021 16:07:48;2,00
26/02/2021 16:07:50;7,00
26/02/2021 16:07:52;12,00
26/02/2021 16:07:54;9,00
26/02/2021 16:07:56;13,00
26/02/2021 16:07:58;5,00
26/02/2021 16:08:00;6,00
26/02/2021 16:08:02;1,00
