dd/MM/yyyy HH:mm:ss;CTC2C,16
26/02/2021 16:02:12;5,00
26/02/2021 16:02:14;3,00
26/02/2021 16:02:16;14,00
26/02/2021 16:02:18;8,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;8,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;8,00
26/02/2021 16:02:28;11,00
26/02/2021 16:02:30;12,00
26/02/2021 16:02:32;0,00
26/02/2021 16:02:34;13,00
26/02/2021 16:02:36;6,00
26/02/2021 16:02:38;7,00
26/02/2021 16:02:40;11,00
26/02/2021 16:02:42;5,00
26/02/2021 16:02:44;4,00
26/02/2021 16:02:46;0,00
26/02/2021 16:02:48;9,00
26/02/2021 16:02:50;1,00
26/02/2021 16:02:52;11,00
26/02/2021 16:02:54;5,00
26/02/2021 16:02:56;9,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:04;3,00
26/02/2021 16:03:06;2,00
26/02/2021 16:03:08;5,00
26/02/2021 16:03:10;8,00
26/02/2021 16:03:12;10,00
26/02/2021 16:03:14;12,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;8,00
26/02/2021 16:03:22;2,00
26/02/2021 16:03:24;1,00
26/02/2021 16:03:26;5,00
26/02/2021 16:03:28;10,00
26/02/2021 16:03:30;2,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;5,00
26/02/2021 16:03:36;9,00
26/02/2021 16:03:39;4,00
26/02/2021 16:03:41;0,00
26/02/2021 16:03:43;6,00
26/02/2021 16:03:45;2,00
26/02/2021 16:03:47;3,00
26/02/2021 16:03:51;8,00
26/02/2021 16:03:53;0,00
26/02/2021 16:03:57;14,00
26/02/2021 16:03:59;5,00
26/02/2021 16:04:01;4,00
26/02/2021 16:04:03;6,00
26/02/2021 16:04:05;7,00
26/02/2021 16:04:07;5,00
26/02/2021 16:04:09;6,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:15;1,00
26/02/2021 16:04:17;14,00
26/02/2021 16:04:19;4,00
26/02/2021 16:04:21;10,00
26/02/2021 16:04:23;2,00
26/02/2021 16:04:25;5,00
26/02/2021 16:04:27;3,00
26/02/2021 16:04:29;10,00
26/02/2021 16:04:31;7,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:35;5,00
26/02/2021 16:04:37;12,00
26/02/2021 16:04:39;3,00
26/02/2021 16:04:41;6,00
26/02/2021 16:04:43;0,00
26/02/2021 16:04:45;2,00
26/02/2021 16:04:47;12,00
26/02/2021 16:04:49;1,00
26/02/2021 16:04:51;11,00
26/02/2021 16:04:53;0,00
26/02/2021 16:04:55;7,00
26/02/2021 16:04:57;11,00
26/02/2021 16:04:59;9,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:03;13,00
26/02/2021 16:05:05;10,00
26/02/2021 16:05:07;4,00
26/02/2021 16:05:09;1,00
26/02/2021 16:05:11;12,00
26/02/2021 16:05:13;5,00
26/02/2021 16:05:15;9,00
26/02/2021 16:05:17;8,00
26/02/2021 16:05:19;2,00
26/02/2021 16:05:21;7,00
26/02/2021 16:05:23;14,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;13,00
26/02/2021 16:05:29;6,00
26/02/2021 16:05:31;8,00
26/02/2021 16:05:33;12,00
26/02/2021 16:05:37;0,00
26/02/2021 16:05:39;4,00
26/02/2021 16:05:41;6,00
26/02/2021 16:05:43;11,00
26/02/2021 16:05:45;14,00
26/02/2021 16:05:47;2,00
26/02/2021 16:05:49;0,00
26/02/2021 16:05:51;9,00
26/02/2021 16:05:53;6,00
26/02/2021 16:05:55;14,00
26/02/2021 16:05:59;9,00
26/02/2021 16:06:01;1,00
26/02/2021 16:06:03;13,00
26/02/2021 16:06:05;6,00
26/02/2021 16:06:08;3,00
26/02/2021 16:06:10;5,00
26/02/2021 16:06:14;14,00
26/02/2021 16:06:16;7,00
26/02/2021 16:06:18;9,00
26/02/2021 16:06:20;4,00
26/02/2021 16:06:22;5,00
26/02/2021 16:06:24;0,00
26/02/2021 16:06:30;8,00
26/02/2021 16:06:32;0,00
26/02/2021 16:06:34;9,00
26/02/2021 16:06:36;4,00
26/02/2021 16:06:38;2,00
26/02/2021 16:06:40;0,00
26/02/2021 16:06:42;5,00
26/02/2021 16:06:44;11,00
26/02/2021 16:06:46;3,00
26/02/2021 16:06:48;6,00
26/02/2021 16:06:50;4,00
26/02/2021 16:06:52;13,00
26/02/2021 16:06:54;14,00
26/02/2021 16:06:56;7,00
26/02/2021 16:06:58;14,00
26/02/2021 16:07:00;4,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;11,00
26/02/2021 16:07:06;5,00
26/02/2021 16:07:10;7,00
26/02/2021 16:07:12;1,00
26/02/2021 16:07:14;5,00
26/02/2021 16:07:16;9,00
26/02/2021 16:07:18;10,00
26/02/2021 16:07:20;13,00
26/02/2021 16:07:24;3,00
26/02/2021 16:07:26;1,00
26/02/2021 16:07:30;0,00
26/02/2021 16:07:32;7,00
26/02/2021 16:07:34;10,00
26/02/2021 16:07:36;8,00
26/02/2021 16:07:38;13,00
26/02/2021 16:07:40;8,00
26/02/2021 16:07:42;12,00
26/02/2021 16:07:44;10,00
26/02/2021 16:07:46;4,00
26/02/2021 16:07:48;12,00
26/02/2021 16:07:50;1,00
26/02/2021 16:07:52;5,00
26/02/2021 16:07:54;6,00
26/02/2021 16:07:56;9,00
26/02/2021 16:07:58;7,00
26/02/2021 16:08:00;5,00
26/02/2021 16:08:02;14,00
26/02/2021 16:08:04;5,00
26/02/2021 16:08:06;12,00
26/02/2021 16:08:08;11,00
26/02/2021 16:08:10;7,00
26/02/2021 16:08:12;5,00
26/02/2021 16:08:14;7,00
26/02/2021 16:08:16;14,00
26/02/2021 16:08:18;13,00
26/02/2021 16:08:22;12,00
26/02/2021 16:08:24;0,00
26/02/2021 16:08:26;13,00
26/02/2021 16:08:28;2,00
26/02/2021 16:08:30;11,00
26/02/2021 16:08:33;2,00
26/02/2021 16:08:34;1,00
26/02/2021 16:08:36;13,00
26/02/2021 16:08:39;1,00
26/02/2021 16:08:41;5,00
26/02/2021 16:08:43;11,00
26/02/2021 16:08:45;5,00
26/02/2021 16:08:47;0,00
26/02/2021 16:08:49;1,00
26/02/2021 16:08:51;3,00
26/02/2021 16:08:53;9,00
26/02/2021 16:08:55;11,00
26/02/2021 16:08:57;8,00
26/02/2021 16:08:59;2,00
26/02/2021 16:09:01;1,00
26/02/2021 16:09:03;7,00
26/02/2021 16:09:05;12,00
26/02/2021 16:09:07;10,00
26/02/2021 16:09:09;9,00
26/02/2021 16:09:13;7,00
26/02/2021 16:09:15;10,00
26/02/2021 16:09:17;9,00
26/02/2021 16:09:19;7,00
26/02/2021 16:09:21;1,00
26/02/2021 16:09:23;6,00
26/02/2021 16:09:25;12,00
26/02/2021 16:09:27;2,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;7,00
26/02/2021 16:09:33;6,00
26/02/2021 16:09:35;13,00
26/02/2021 16:09:37;0,00
26/02/2021 16:09:39;11,00
26/02/2021 16:09:41;7,00
26/02/2021 16:09:43;4,00
26/02/2021 16:09:45;1,00
26/02/2021 16:09:47;12,00
26/02/2021 16:09:49;1,00
26/02/2021 16:09:51;4,00
26/02/2021 16:09:53;12,00
26/02/2021 16:09:55;14,00
26/02/2021 16:09:57;4,00
26/02/2021 16:09:59;2,00
26/02/2021 16:10:01;11,00
26/02/2021 16:10:03;6,00
26/02/2021 16:10:05;8,00
26/02/2021 16:10:09;14,00
26/02/2021 16:10:11;10,00
26/02/2021 16:10:13;4,00
26/02/2021 16:10:15;14,00
26/02/2021 16:10:17;5,00
26/02/2021 16:10:19;4,00
26/02/2021 16:10:21;1,00
26/02/2021 16:10:23;12,00
26/02/2021 16:10:25;2,00
26/02/2021 16:10:27;12,00
26/02/2021 16:10:29;4,00
26/02/2021 16:10:31;5,00
26/02/2021 16:10:33;6,00
26/02/2021 16:10:35;11,00
26/02/2021 16:10:37;1,00
26/02/2021 16:10:39;8,00
26/02/2021 16:10:41;6,00
26/02/2021 16:10:44;2,00
26/02/2021 16:10:46;11,00
26/02/2021 16:10:48;7,00
26/02/2021 16:10:50;10,00
26/02/2021 16:10:52;7,00
26/02/2021 16:10:54;14,00
26/02/2021 16:10:56;5,00
26/02/2021 16:11:00;6,00
26/02/2021 16:11:02;11,00
26/02/2021 16:11:04;6,00
26/02/2021 16:11:08;13,00
26/02/2021 16:11:10;2,00
26/02/2021 16:11:12;6,00
26/02/2021 16:11:14;3,00
26/02/2021 16:11:16;6,00
26/02/2021 16:11:18;10,00
26/02/2021 16:11:20;14,00
26/02/2021 16:11:22;0,00
26/02/2021 16:11:24;9,00
26/02/2021 16:11:26;1,00
26/02/2021 16:11:28;14,00
26/02/2021 16:11:30;11,00
26/02/2021 16:11:32;9,00
26/02/2021 16:11:34;4,00
26/02/2021 16:11:36;1,00
26/02/2021 16:11:38;10,00
26/02/2021 16:11:40;9,00
26/02/2021 16:11:42;1,00
26/02/2021 16:11:44;2,00
26/02/2021 16:11:46;14,00
26/02/2021 16:11:48;1,00
26/02/2021 16:11:50;2,00
26/02/2021 16:11:52;10,00
26/02/2021 16:11:56;8,00
26/02/2021 16:11:58;1,00
26/02/2021 16:12:00;14,00
26/02/2021 16:12:02;2,00
26/02/2021 16:12:04;3,00
26/02/2021 16:12:08;6,00
26/02/2021 16:12:10;10,00
26/02/2021 16:12:12;6,00
26/02/2021 16:12:14;4,00
26/02/2021 16:12:16;1,00
26/02/2021 16:12:18;8,00
26/02/2021 16:12:20;5,00
26/02/2021 16:12:22;2,00
26/02/2021 16:12:24;4,00
26/02/2021 16:12:26;7,00
26/02/2021 16:12:28;0,00
26/02/2021 16:12:30;1,00
26/02/2021 16:12:32;13,00
26/02/2021 16:12:34;10,00
26/02/2021 16:12:36;11,00
26/02/2021 16:12:38;8,00
26/02/2021 16:12:40;12,00
26/02/2021 16:12:42;1,00
26/02/2021 16:12:44;10,00
26/02/2021 16:12:46;1,00
26/02/2021 16:12:48;2,00
26/02/2021 16:12:50;6,00
26/02/2021 16:12:52;2,00
26/02/2021 16:12:54;4,00
26/02/2021 16:12:56;5,00
26/02/2021 16:12:58;6,00
26/02/2021 16:13:00;1,00
26/02/2021 16:13:02;6,00
26/02/2021 16:13:04;14,00
26/02/2021 16:13:06;8,00
26/02/2021 16:13:08;10,00
26/02/2021 16:13:10;9,00
26/02/2021 16:13:12;11,00
26/02/2021 16:13:14;8,00
26/02/2021 16:13:16;0,00
26/02/2021 16:13:18;7,00
