dd/MM/yyyy HH:mm:ss;CTC21,16
26/02/2021 16:02:12;3,00
26/02/2021 16:02:14;12,00
26/02/2021 16:02:18;13,00
26/02/2021 16:02:20;11,00
26/02/2021 16:02:22;8,00
26/02/2021 16:02:24;7,00
26/02/2021 16:02:26;14,00
26/02/2021 16:02:28;7,00
26/02/2021 16:02:30;12,00
26/02/2021 16:02:32;5,00
26/02/2021 16:02:36;4,00
26/02/2021 16:02:38;12,00
26/02/2021 16:02:40;1,00
26/02/2021 16:02:42;0,00
26/02/2021 16:02:44;12,00
26/02/2021 16:02:46;13,00
26/02/2021 16:02:48;0,00
26/02/2021 16:02:50;12,00
26/02/2021 16:02:52;5,00
26/02/2021 16:02:54;3,00
26/02/2021 16:02:56;2,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;11,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:08;0,00
26/02/2021 16:03:10;12,00
26/02/2021 16:03:12;0,00
26/02/2021 16:03:14;12,00
26/02/2021 16:03:16;4,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;1,00
26/02/2021 16:03:22;12,00
26/02/2021 16:03:24;10,00
26/02/2021 16:03:26;0,00
26/02/2021 16:03:28;5,00
26/02/2021 16:03:30;7,00
26/02/2021 16:03:32;5,00
26/02/2021 16:03:34;1,00
26/02/2021 16:03:37;5,00
26/02/2021 16:03:39;3,00
26/02/2021 16:03:41;6,00
26/02/2021 16:03:43;0,00
26/02/2021 16:03:45;14,00
26/02/2021 16:03:47;12,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;3,00
26/02/2021 16:03:53;14,00
26/02/2021 16:03:55;10,00
26/02/2021 16:03:57;2,00
26/02/2021 16:03:59;5,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:03;9,00
26/02/2021 16:04:07;8,00
26/02/2021 16:04:09;5,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;8,00
26/02/2021 16:04:15;5,00
26/02/2021 16:04:19;9,00
26/02/2021 16:04:21;8,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:27;10,00
26/02/2021 16:04:29;0,00
26/02/2021 16:04:31;1,00
26/02/2021 16:04:33;12,00
26/02/2021 16:04:35;0,00
26/02/2021 16:04:37;8,00
26/02/2021 16:04:39;3,00
26/02/2021 16:04:41;8,00
26/02/2021 16:04:43;3,00
26/02/2021 16:04:45;2,00
26/02/2021 16:04:47;0,00
26/02/2021 16:04:49;12,00
26/02/2021 16:04:51;7,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;4,00
26/02/2021 16:04:57;7,00
26/02/2021 16:04:59;12,00
26/02/2021 16:05:01;0,00
26/02/2021 16:05:03;1,00
26/02/2021 16:05:05;8,00
26/02/2021 16:05:07;10,00
