dd/MM/yyyy HH:mm:ss;CTC4C,16
26/02/2021 16:02:12;9,00
26/02/2021 16:02:14;3,00
26/02/2021 16:02:16;10,00
26/02/2021 16:02:18;6,00
26/02/2021 16:02:20;7,00
26/02/2021 16:02:22;6,00
26/02/2021 16:02:24;8,00
26/02/2021 16:02:26;6,00
26/02/2021 16:02:28;5,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;10,00
26/02/2021 16:02:34;0,00
26/02/2021 16:02:36;4,00
26/02/2021 16:02:40;9,00
26/02/2021 16:02:42;4,00
26/02/2021 16:02:44;8,00
26/02/2021 16:02:46;13,00
26/02/2021 16:02:48;9,00
26/02/2021 16:02:50;12,00
26/02/2021 16:02:52;1,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;4,00
26/02/2021 16:02:58;2,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:04;11,00
26/02/2021 16:03:06;9,00
26/02/2021 16:03:08;3,00
26/02/2021 16:03:10;1,00
26/02/2021 16:03:12;5,00
26/02/2021 16:03:14;14,00
26/02/2021 16:03:16;9,00
26/02/2021 16:03:18;12,00
26/02/2021 16:03:20;1,00
26/02/2021 16:03:22;10,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;4,00
26/02/2021 16:03:28;2,00
26/02/2021 16:03:30;0,00
26/02/2021 16:03:32;9,00
26/02/2021 16:03:34;14,00
26/02/2021 16:03:37;12,00
26/02/2021 16:03:39;7,00
26/02/2021 16:03:41;1,00
26/02/2021 16:03:43;7,00
26/02/2021 16:03:45;11,00
26/02/2021 16:03:47;12,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;12,00
26/02/2021 16:03:53;4,00
26/02/2021 16:03:55;11,00
26/02/2021 16:03:59;9,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:05;14,00
26/02/2021 16:04:07;7,00
26/02/2021 16:04:09;4,00
26/02/2021 16:04:11;8,00
26/02/2021 16:04:13;2,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;8,00
26/02/2021 16:04:19;12,00
26/02/2021 16:04:21;6,00
26/02/2021 16:04:23;4,00
26/02/2021 16:04:25;12,00
26/02/2021 16:04:27;13,00
26/02/2021 16:04:29;7,00
26/02/2021 16:04:31;11,00
26/02/2021 16:04:33;1,00
26/02/2021 16:04:35;14,00
26/02/2021 16:04:37;1,00
26/02/2021 16:04:39;0,00
26/02/2021 16:04:41;11,00
26/02/2021 16:04:43;14,00
26/02/2021 16:04:45;4,00
26/02/2021 16:04:47;14,00
26/02/2021 16:04:49;2,00
26/02/2021 16:04:51;11,00
26/02/2021 16:04:53;6,00
26/02/2021 16:04:55;9,00
26/02/2021 16:04:57;10,00
26/02/2021 16:04:59;14,00
26/02/2021 16:05:01;3,00
26/02/2021 16:05:03;4,00
26/02/2021 16:05:05;9,00
26/02/2021 16:05:07;11,00
26/02/2021 16:05:09;14,00
26/02/2021 16:05:11;7,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;2,00
26/02/2021 16:05:17;8,00
26/02/2021 16:05:19;7,00
26/02/2021 16:05:21;6,00
26/02/2021 16:05:23;2,00
26/02/2021 16:05:25;8,00
26/02/2021 16:05:27;13,00
26/02/2021 16:05:29;3,00
26/02/2021 16:05:31;7,00
26/02/2021 16:05:33;6,00
26/02/2021 16:05:35;2,00
26/02/2021 16:05:37;12,00
26/02/2021 16:05:39;1,00
26/02/2021 16:05:41;12,00
26/02/2021 16:05:43;10,00
26/02/2021 16:05:45;1,00
26/02/2021 16:05:47;5,00
26/02/2021 16:05:51;3,00
26/02/2021 16:05:53;2,00
26/02/2021 16:05:55;4,00
26/02/2021 16:05:57;8,00
26/02/2021 16:05:59;2,00
26/02/2021 16:06:01;9,00
26/02/2021 16:06:04;0,00
26/02/2021 16:06:05;3,00
26/02/2021 16:06:08;8,00
26/02/2021 16:06:10;1,00
26/02/2021 16:06:12;10,00
26/02/2021 16:06:14;2,00
26/02/2021 16:06:16;5,00
26/02/2021 16:06:18;12,00
26/02/2021 16:06:20;0,00
26/02/2021 16:06:22;8,00
26/02/2021 16:06:24;0,00
26/02/2021 16:06:26;7,00
26/02/2021 16:06:28;3,00
26/02/2021 16:06:32;2,00
26/02/2021 16:06:34;3,00
26/02/2021 16:06:36;13,00
26/02/2021 16:06:38;5,00
26/02/2021 16:06:40;14,00
26/02/2021 16:06:42;3,00
26/02/2021 16:06:44;11,00
26/02/2021 16:06:46;7,00
26/02/2021 16:06:48;13,00
26/02/2021 16:06:50;6,00
26/02/2021 16:06:52;7,00
26/02/2021 16:06:54;14,00
26/02/2021 16:06:58;0,00
26/02/2021 16:07:00;4,00
26/02/2021 16:07:02;13,00
26/02/2021 16:07:04;6,00
26/02/2021 16:07:06;14,00
26/02/2021 16:07:08;10,00
26/02/2021 16:07:10;8,00
26/02/2021 16:07:12;11,00
26/02/2021 16:07:14;7,00
26/02/2021 16:07:16;9,00
26/02/2021 16:07:18;5,00
26/02/2021 16:07:20;12,00
26/02/2021 16:07:22;2,00
26/02/2021 16:07:26;0,00
26/02/2021 16:07:28;6,00
26/02/2021 16:07:30;2,00
26/02/2021 16:07:32;1,00
26/02/2021 16:07:34;10,00
26/02/2021 16:07:36;7,00
26/02/2021 16:07:38;10,00
26/02/2021 16:07:40;8,00
26/02/2021 16:07:42;4,00
26/02/2021 16:07:44;6,00
26/02/2021 16:07:46;8,00
26/02/2021 16:07:48;11,00
26/02/2021 16:07:50;2,00
26/02/2021 16:07:52;4,00
26/02/2021 16:07:54;14,00
26/02/2021 16:07:56;13,00
26/02/2021 16:07:58;6,00
26/02/2021 16:08:00;11,00
26/02/2021 16:08:02;10,00
26/02/2021 16:08:04;13,00
26/02/2021 16:08:06;6,00
26/02/2021 16:08:08;9,00
26/02/2021 16:08:10;12,00
26/02/2021 16:08:12;9,00
26/02/2021 16:08:14;5,00
26/02/2021 16:08:16;14,00
26/02/2021 16:08:18;13,00
26/02/2021 16:08:20;4,00
26/02/2021 16:08:22;12,00
26/02/2021 16:08:24;6,00
26/02/2021 16:08:28;8,00
26/02/2021 16:08:30;7,00
26/02/2021 16:08:33;8,00
26/02/2021 16:08:34;6,00
26/02/2021 16:08:37;9,00
26/02/2021 16:08:39;1,00
26/02/2021 16:08:41;5,00
26/02/2021 16:08:43;1,00
26/02/2021 16:08:45;11,00
26/02/2021 16:08:47;8,00
26/02/2021 16:08:51;11,00
26/02/2021 16:08:55;10,00
26/02/2021 16:08:57;6,00
26/02/2021 16:08:59;11,00
26/02/2021 16:09:01;8,00
26/02/2021 16:09:03;5,00
26/02/2021 16:09:05;13,00
26/02/2021 16:09:07;11,00
26/02/2021 16:09:09;14,00
26/02/2021 16:09:11;1,00
26/02/2021 16:09:13;8,00
26/02/2021 16:09:15;13,00
26/02/2021 16:09:17;0,00
26/02/2021 16:09:19;5,00
26/02/2021 16:09:25;2,00
26/02/2021 16:09:27;13,00
26/02/2021 16:09:29;11,00
26/02/2021 16:09:31;1,00
26/02/2021 16:09:33;12,00
26/02/2021 16:09:35;4,00
26/02/2021 16:09:37;9,00
26/02/2021 16:09:39;7,00
26/02/2021 16:09:41;9,00
26/02/2021 16:09:43;8,00
26/02/2021 16:09:45;10,00
26/02/2021 16:09:47;11,00
26/02/2021 16:09:49;3,00
26/02/2021 16:09:53;10,00
26/02/2021 16:09:55;8,00
26/02/2021 16:09:57;0,00
26/02/2021 16:09:59;14,00
26/02/2021 16:10:01;2,00
26/02/2021 16:10:03;10,00
26/02/2021 16:10:05;13,00
26/02/2021 16:10:07;10,00
26/02/2021 16:10:09;7,00
26/02/2021 16:10:11;1,00
26/02/2021 16:10:13;3,00
26/02/2021 16:10:15;5,00
26/02/2021 16:10:17;4,00
26/02/2021 16:10:19;0,00
26/02/2021 16:10:21;8,00
26/02/2021 16:10:23;1,00
26/02/2021 16:10:25;4,00
26/02/2021 16:10:27;13,00
26/02/2021 16:10:29;1,00
26/02/2021 16:10:31;3,00
26/02/2021 16:10:33;12,00
26/02/2021 16:10:35;6,00
26/02/2021 16:10:37;11,00
26/02/2021 16:10:39;10,00
26/02/2021 16:10:41;8,00
26/02/2021 16:10:44;0,00
26/02/2021 16:10:46;2,00
26/02/2021 16:10:48;7,00
26/02/2021 16:10:50;9,00
26/02/2021 16:10:52;10,00
26/02/2021 16:10:54;9,00
26/02/2021 16:10:56;2,00
26/02/2021 16:10:58;0,00
26/02/2021 16:11:00;14,00
26/02/2021 16:11:02;8,00
26/02/2021 16:11:04;13,00
26/02/2021 16:11:08;7,00
26/02/2021 16:11:10;5,00
26/02/2021 16:11:12;1,00
26/02/2021 16:11:14;0,00
26/02/2021 16:11:16;10,00
26/02/2021 16:11:18;7,00
26/02/2021 16:11:20;2,00
26/02/2021 16:11:22;11,00
26/02/2021 16:11:24;9,00
26/02/2021 16:11:26;10,00
26/02/2021 16:11:28;13,00
26/02/2021 16:11:30;0,00
26/02/2021 16:11:32;8,00
26/02/2021 16:11:34;7,00
26/02/2021 16:11:36;12,00
26/02/2021 16:11:38;5,00
26/02/2021 16:11:40;2,00
26/02/2021 16:11:42;7,00
26/02/2021 16:11:46;9,00
26/02/2021 16:11:48;14,00
26/02/2021 16:11:50;10,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:56;7,00
26/02/2021 16:11:58;5,00
26/02/2021 16:12:00;9,00
26/02/2021 16:12:02;3,00
26/02/2021 16:12:04;14,00
26/02/2021 16:12:08;1,00
26/02/2021 16:12:10;7,00
26/02/2021 16:12:12;0,00
26/02/2021 16:12:14;5,00
26/02/2021 16:12:16;2,00
26/02/2021 16:12:18;10,00
26/02/2021 16:12:20;6,00
26/02/2021 16:12:24;0,00
26/02/2021 16:12:26;10,00
26/02/2021 16:12:28;3,00
26/02/2021 16:12:30;4,00
26/02/2021 16:12:32;7,00
26/02/2021 16:12:36;1,00
26/02/2021 16:12:38;4,00
26/02/2021 16:12:40;9,00
26/02/2021 16:12:42;7,00
26/02/2021 16:12:44;1,00
26/02/2021 16:12:46;14,00
26/02/2021 16:12:48;10,00
26/02/2021 16:12:50;8,00
26/02/2021 16:12:52;2,00
26/02/2021 16:12:54;9,00
26/02/2021 16:12:56;14,00
26/02/2021 16:12:58;11,00
26/02/2021 16:13:00;8,00
26/02/2021 16:13:02;2,00
26/02/2021 16:13:04;4,00
26/02/2021 16:13:06;1,00
26/02/2021 16:13:08;14,00
26/02/2021 16:13:10;0,00
26/02/2021 16:13:12;9,00
26/02/2021 16:13:14;14,00
26/02/2021 16:13:16;9,00
26/02/2021 16:13:18;2,00
26/02/2021 16:13:22;9,00
26/02/2021 16:13:25;3,00
26/02/2021 16:13:27;7,00
26/02/2021 16:13:29;10,00
26/02/2021 16:13:31;5,00
26/02/2021 16:13:33;3,00
26/02/2021 16:13:35;4,00
26/02/2021 16:13:37;0,00
26/02/2021 16:13:39;10,00
26/02/2021 16:13:43;7,00
26/02/2021 16:13:45;10,00
26/02/2021 16:13:47;14,00
26/02/2021 16:13:49;3,00
26/02/2021 16:13:51;0,00
26/02/2021 16:13:55;11,00
26/02/2021 16:13:57;13,00
26/02/2021 16:13:59;12,00
26/02/2021 16:14:01;5,00
26/02/2021 16:14:03;1,00
26/02/2021 16:14:05;4,00
26/02/2021 16:14:07;14,00
26/02/2021 16:14:09;8,00
26/02/2021 16:14:11;3,00
26/02/2021 16:14:13;2,00
26/02/2021 16:14:15;4,00
26/02/2021 16:14:17;13,00
26/02/2021 16:14:19;6,00
26/02/2021 16:14:21;5,00
26/02/2021 16:14:23;11,00
26/02/2021 16:14:25;13,00
26/02/2021 16:14:27;7,00
26/02/2021 16:14:29;14,00
26/02/2021 16:14:31;5,00
26/02/2021 16:14:33;14,00
26/02/2021 16:14:35;8,00
26/02/2021 16:14:37;14,00
26/02/2021 16:14:39;8,00
26/02/2021 16:14:41;11,00
