dd/MM/yyyy HH:mm:ss;CHC11,16
26/02/2021 16:02:12;89,00
26/02/2021 16:02:14;77,00
26/02/2021 16:02:18;56,00
26/02/2021 16:02:28;85,00
26/02/2021 16:02:30;68,00
26/02/2021 16:02:32;45,00
26/02/2021 16:02:36;79,00
26/02/2021 16:02:38;47,00
26/02/2021 16:02:40;77,00
26/02/2021 16:02:54;62,00
26/02/2021 16:02:58;75,00
26/02/2021 16:03:14;63,00
26/02/2021 16:03:16;67,00
26/02/2021 16:03:18;69,00
26/02/2021 16:03:22;81,00
26/02/2021 16:03:26;56,00
26/02/2021 16:03:28;85,00
26/02/2021 16:03:34;47,00
26/02/2021 16:03:41;83,00
26/02/2021 16:03:45;85,00
26/02/2021 16:03:49;48,00
26/02/2021 16:03:51;58,00
26/02/2021 16:03:53;46,00
26/02/2021 16:03:59;85,00
26/02/2021 16:04:01;51,00
26/02/2021 16:04:05;70,00
26/02/2021 16:04:09;62,00
26/02/2021 16:04:13;75,00
26/02/2021 16:04:23;65,00
26/02/2021 16:04:25;88,00
26/02/2021 16:04:29;89,00
26/02/2021 16:04:41;45,00
26/02/2021 16:04:45;47,00
26/02/2021 16:04:47;50,00
26/02/2021 16:04:49;77,00
26/02/2021 16:04:55;41,00
26/02/2021 16:05:01;89,00
26/02/2021 16:05:05;72,00
26/02/2021 16:05:09;48,00
26/02/2021 16:05:11;89,00
26/02/2021 16:05:17;56,00
26/02/2021 16:05:19;72,00
26/02/2021 16:05:31;88,00
26/02/2021 16:05:33;63,00
26/02/2021 16:05:35;71,00
26/02/2021 16:05:41;68,00
26/02/2021 16:05:43;84,00
26/02/2021 16:05:47;62,00
26/02/2021 16:05:51;85,00
26/02/2021 16:05:53;71,00
26/02/2021 16:05:59;51,00
26/02/2021 16:06:01;70,00
26/02/2021 16:06:04;88,00
26/02/2021 16:06:05;80,00
26/02/2021 16:06:08;63,00
26/02/2021 16:06:14;72,00
26/02/2021 16:06:16;43,00
26/02/2021 16:06:20;86,00
26/02/2021 16:06:22;67,00
26/02/2021 16:06:24;52,00
26/02/2021 16:06:28;60,00
26/02/2021 16:06:30;76,00
26/02/2021 16:06:36;84,00
26/02/2021 16:06:38;73,00
26/02/2021 16:06:40;82,00
26/02/2021 16:06:42;71,00
26/02/2021 16:06:44;55,00
26/02/2021 16:06:48;73,00
26/02/2021 16:06:50;49,00
26/02/2021 16:06:52;71,00
26/02/2021 16:06:56;67,00
26/02/2021 16:07:04;85,00
26/02/2021 16:07:06;78,00
26/02/2021 16:07:08;76,00
26/02/2021 16:07:10;45,00
26/02/2021 16:07:12;43,00
26/02/2021 16:07:14;54,00
26/02/2021 16:07:16;77,00
26/02/2021 16:07:18;51,00
26/02/2021 16:07:22;85,00
26/02/2021 16:07:24;76,00
26/02/2021 16:07:28;73,00
26/02/2021 16:07:36;48,00
26/02/2021 16:07:40;50,00
26/02/2021 16:07:44;53,00
26/02/2021 16:07:50;43,00
26/02/2021 16:07:56;54,00
26/02/2021 16:08:02;48,00
26/02/2021 16:08:04;67,00
26/02/2021 16:08:06;47,00
26/02/2021 16:08:08;62,00
26/02/2021 16:08:14;70,00
26/02/2021 16:08:18;44,00
26/02/2021 16:08:24;80,00
26/02/2021 16:08:26;79,00
26/02/2021 16:08:47;86,00
26/02/2021 16:08:49;78,00
26/02/2021 16:08:53;73,00
26/02/2021 16:08:55;66,00
26/02/2021 16:09:07;53,00
26/02/2021 16:09:09;71,00
26/02/2021 16:09:11;86,00
26/02/2021 16:09:13;77,00
26/02/2021 16:09:21;56,00
26/02/2021 16:09:25;62,00
26/02/2021 16:09:27;69,00
26/02/2021 16:09:29;75,00
26/02/2021 16:09:31;44,00
26/02/2021 16:09:33;55,00
26/02/2021 16:09:35;68,00
26/02/2021 16:09:37;79,00
26/02/2021 16:09:41;80,00
26/02/2021 16:09:43;85,00
26/02/2021 16:09:47;87,00
26/02/2021 16:09:51;64,00
26/02/2021 16:09:53;49,00
26/02/2021 16:09:57;82,00
26/02/2021 16:09:59;62,00
26/02/2021 16:10:01;53,00
26/02/2021 16:10:07;66,00
26/02/2021 16:10:09;63,00
26/02/2021 16:10:11;45,00
26/02/2021 16:10:13;76,00
26/02/2021 16:10:19;59,00
26/02/2021 16:10:21;87,00
26/02/2021 16:10:25;51,00
26/02/2021 16:10:33;41,00
26/02/2021 16:10:44;51,00
26/02/2021 16:10:46;89,00
26/02/2021 16:10:52;42,00
26/02/2021 16:10:58;80,00
26/02/2021 16:11:06;71,00
26/02/2021 16:11:10;53,00
26/02/2021 16:11:14;48,00
26/02/2021 16:11:16;60,00
26/02/2021 16:11:22;88,00
26/02/2021 16:11:24;72,00
26/02/2021 16:11:26;86,00
26/02/2021 16:11:32;50,00
26/02/2021 16:11:34;42,00
26/02/2021 16:11:38;53,00
26/02/2021 16:11:40;56,00
26/02/2021 16:11:44;55,00
26/02/2021 16:11:46;49,00
26/02/2021 16:11:48;46,00
26/02/2021 16:11:50;42,00
26/02/2021 16:11:52;56,00
26/02/2021 16:11:54;74,00
26/02/2021 16:12:02;62,00
26/02/2021 16:12:04;56,00
26/02/2021 16:12:20;89,00
26/02/2021 16:12:38;72,00
26/02/2021 16:12:46;64,00
26/02/2021 16:12:48;70,00
26/02/2021 16:12:54;85,00
26/02/2021 16:12:56;84,00
26/02/2021 16:12:58;54,00
26/02/2021 16:13:00;80,00
26/02/2021 16:13:06;85,00
26/02/2021 16:13:10;44,00
26/02/2021 16:13:14;56,00
26/02/2021 16:13:16;47,00
26/02/2021 16:13:18;88,00
26/02/2021 16:13:21;86,00
26/02/2021 16:13:25;87,00
26/02/2021 16:13:27;43,00
26/02/2021 16:13:29;53,00
26/02/2021 16:13:33;71,00
26/02/2021 16:13:35;74,00
26/02/2021 16:13:47;65,00
26/02/2021 16:13:51;58,00
26/02/2021 16:13:57;63,00
26/02/2021 16:14:05;89,00
26/02/2021 16:14:09;62,00
26/02/2021 16:14:13;74,00
26/02/2021 16:14:15;55,00
26/02/2021 16:14:17;49,00
26/02/2021 16:14:19;75,00
26/02/2021 16:14:23;73,00
26/02/2021 16:14:25;41,00
26/02/2021 16:14:27;55,00
26/02/2021 16:14:29;52,00
26/02/2021 16:14:35;42,00
26/02/2021 16:14:41;62,00
26/02/2021 16:14:43;87,00
