dd/MM/yyyy HH:mm:ss;CTC5B,16
26/02/2021 16:02:18;10,00
26/02/2021 16:02:20;0,00
26/02/2021 16:02:22;5,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;0,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;8,00
26/02/2021 16:02:32;6,00
26/02/2021 16:02:34;0,00
26/02/2021 16:02:36;6,00
26/02/2021 16:02:38;10,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;2,00
26/02/2021 16:02:44;0,00
26/02/2021 16:02:46;3,00
26/02/2021 16:02:48;10,00
26/02/2021 16:02:52;9,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;4,00
26/02/2021 16:02:58;3,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:02;5,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:08;6,00
26/02/2021 16:03:10;10,00
26/02/2021 16:03:12;6,00
26/02/2021 16:03:14;5,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:18;2,00
26/02/2021 16:03:20;5,00
26/02/2021 16:03:22;10,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;11,00
26/02/2021 16:03:28;12,00
26/02/2021 16:03:32;8,00
26/02/2021 16:03:34;4,00
26/02/2021 16:03:37;1,00
26/02/2021 16:03:39;3,00
26/02/2021 16:03:41;7,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:45;13,00
26/02/2021 16:03:47;0,00
26/02/2021 16:03:49;3,00
26/02/2021 16:03:51;9,00
26/02/2021 16:03:53;6,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;9,00
26/02/2021 16:03:59;3,00
26/02/2021 16:04:01;2,00
26/02/2021 16:04:03;0,00
26/02/2021 16:04:05;9,00
26/02/2021 16:04:07;14,00
26/02/2021 16:04:09;5,00
26/02/2021 16:04:11;13,00
26/02/2021 16:04:15;7,00
26/02/2021 16:04:17;0,00
26/02/2021 16:04:19;12,00
26/02/2021 16:04:21;6,00
26/02/2021 16:04:23;8,00
26/02/2021 16:04:25;10,00
26/02/2021 16:04:27;8,00
26/02/2021 16:04:29;4,00
26/02/2021 16:04:31;13,00
26/02/2021 16:04:33;4,00
26/02/2021 16:04:35;7,00
26/02/2021 16:04:37;0,00
26/02/2021 16:04:39;11,00
26/02/2021 16:04:41;14,00
26/02/2021 16:04:43;7,00
26/02/2021 16:04:45;1,00
26/02/2021 16:04:47;3,00
26/02/2021 16:04:49;7,00
26/02/2021 16:04:51;3,00
26/02/2021 16:04:53;5,00
26/02/2021 16:04:55;3,00
26/02/2021 16:04:57;2,00
26/02/2021 16:04:59;10,00
26/02/2021 16:05:01;9,00
26/02/2021 16:05:03;11,00
26/02/2021 16:05:05;10,00
26/02/2021 16:05:07;1,00
26/02/2021 16:05:09;12,00
26/02/2021 16:05:13;0,00
26/02/2021 16:05:15;13,00
26/02/2021 16:05:17;10,00
26/02/2021 16:05:19;6,00
26/02/2021 16:05:21;9,00
26/02/2021 16:05:23;8,00
26/02/2021 16:05:25;0,00
26/02/2021 16:05:27;6,00
26/02/2021 16:05:29;0,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:35;12,00
26/02/2021 16:05:37;0,00
26/02/2021 16:05:39;12,00
26/02/2021 16:05:41;9,00
26/02/2021 16:05:43;6,00
26/02/2021 16:05:45;5,00
26/02/2021 16:05:49;0,00
26/02/2021 16:05:51;6,00
26/02/2021 16:05:53;2,00
26/02/2021 16:05:55;13,00
26/02/2021 16:05:57;14,00
26/02/2021 16:05:59;11,00
26/02/2021 16:06:01;5,00
26/02/2021 16:06:04;12,00
26/02/2021 16:06:05;10,00
26/02/2021 16:06:08;12,00
26/02/2021 16:06:10;13,00
26/02/2021 16:06:12;8,00
26/02/2021 16:06:14;5,00
26/02/2021 16:06:16;9,00
26/02/2021 16:06:18;11,00
26/02/2021 16:06:20;2,00
26/02/2021 16:06:22;13,00
26/02/2021 16:06:24;9,00
26/02/2021 16:06:26;10,00
26/02/2021 16:06:28;13,00
26/02/2021 16:06:30;11,00
26/02/2021 16:06:32;1,00
26/02/2021 16:06:36;10,00
26/02/2021 16:06:38;11,00
26/02/2021 16:06:40;1,00
26/02/2021 16:06:42;8,00
26/02/2021 16:06:44;14,00
26/02/2021 16:06:46;2,00
26/02/2021 16:06:48;13,00
26/02/2021 16:06:50;12,00
26/02/2021 16:06:52;1,00
26/02/2021 16:06:54;10,00
26/02/2021 16:06:56;1,00
26/02/2021 16:06:58;9,00
26/02/2021 16:07:00;5,00
26/02/2021 16:07:02;0,00
26/02/2021 16:07:04;11,00
