dd/MM/yyyy HH:mm:ss;CTC4D,16
26/02/2021 16:02:12;13,00
26/02/2021 16:02:14;14,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;10,00
26/02/2021 16:02:20;7,00
26/02/2021 16:02:22;1,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;4,00
26/02/2021 16:02:30;12,00
26/02/2021 16:02:32;0,00
26/02/2021 16:02:34;7,00
26/02/2021 16:02:36;8,00
26/02/2021 16:02:38;4,00
26/02/2021 16:02:40;10,00
26/02/2021 16:02:42;7,00
26/02/2021 16:02:44;6,00
26/02/2021 16:02:46;14,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;7,00
26/02/2021 16:02:54;5,00
26/02/2021 16:02:56;4,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:04;7,00
26/02/2021 16:03:06;4,00
26/02/2021 16:03:08;8,00
26/02/2021 16:03:10;12,00
26/02/2021 16:03:14;11,00
26/02/2021 16:03:16;2,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;8,00
26/02/2021 16:03:22;4,00
26/02/2021 16:03:24;6,00
26/02/2021 16:03:26;3,00
26/02/2021 16:03:28;5,00
26/02/2021 16:03:30;0,00
26/02/2021 16:03:32;11,00
26/02/2021 16:03:34;9,00
26/02/2021 16:03:37;0,00
26/02/2021 16:03:39;6,00
26/02/2021 16:03:43;14,00
26/02/2021 16:03:45;2,00
26/02/2021 16:03:47;9,00
26/02/2021 16:03:49;0,00
26/02/2021 16:03:51;2,00
26/02/2021 16:03:53;9,00
26/02/2021 16:03:55;6,00
26/02/2021 16:03:57;11,00
26/02/2021 16:03:59;9,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:05;11,00
26/02/2021 16:04:07;13,00
26/02/2021 16:04:09;0,00
26/02/2021 16:04:11;13,00
26/02/2021 16:04:13;9,00
26/02/2021 16:04:15;0,00
26/02/2021 16:04:17;14,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;0,00
26/02/2021 16:04:23;6,00
26/02/2021 16:04:25;14,00
26/02/2021 16:04:27;7,00
26/02/2021 16:04:29;11,00
26/02/2021 16:04:31;9,00
26/02/2021 16:04:33;11,00
26/02/2021 16:04:35;1,00
26/02/2021 16:04:37;3,00
26/02/2021 16:04:39;14,00
26/02/2021 16:04:41;2,00
26/02/2021 16:04:43;5,00
26/02/2021 16:04:45;12,00
26/02/2021 16:04:47;0,00
26/02/2021 16:04:49;8,00
26/02/2021 16:04:51;1,00
26/02/2021 16:04:53;4,00
26/02/2021 16:04:55;6,00
26/02/2021 16:04:57;2,00
26/02/2021 16:04:59;1,00
26/02/2021 16:05:01;9,00
26/02/2021 16:05:03;7,00
26/02/2021 16:05:05;3,00
26/02/2021 16:05:07;2,00
26/02/2021 16:05:09;11,00
26/02/2021 16:05:11;14,00
26/02/2021 16:05:13;8,00
26/02/2021 16:05:15;5,00
26/02/2021 16:05:17;3,00
26/02/2021 16:05:21;11,00
26/02/2021 16:05:23;12,00
26/02/2021 16:05:25;8,00
26/02/2021 16:05:27;2,00
26/02/2021 16:05:29;7,00
26/02/2021 16:05:31;9,00
26/02/2021 16:05:33;7,00
26/02/2021 16:05:35;3,00
26/02/2021 16:05:37;4,00
26/02/2021 16:05:39;6,00
26/02/2021 16:05:41;9,00
26/02/2021 16:05:43;14,00
26/02/2021 16:05:45;5,00
26/02/2021 16:05:47;2,00
26/02/2021 16:05:49;13,00
26/02/2021 16:05:51;10,00
26/02/2021 16:05:53;12,00
26/02/2021 16:05:57;14,00
26/02/2021 16:05:59;7,00
26/02/2021 16:06:01;5,00
26/02/2021 16:06:04;1,00
26/02/2021 16:06:05;11,00
26/02/2021 16:06:08;1,00
26/02/2021 16:06:10;13,00
26/02/2021 16:06:12;11,00
26/02/2021 16:06:14;8,00
26/02/2021 16:06:16;13,00
26/02/2021 16:06:18;8,00
26/02/2021 16:06:20;0,00
26/02/2021 16:06:22;7,00
26/02/2021 16:06:24;5,00
26/02/2021 16:06:26;12,00
26/02/2021 16:06:28;10,00
