dd/MM/yyyy HH:mm:ss;CTC5D,16
26/02/2021 16:02:12;2,00
26/02/2021 16:02:16;9,00
26/02/2021 16:02:18;8,00
26/02/2021 16:02:20;13,00
26/02/2021 16:02:22;8,00
26/02/2021 16:02:24;10,00
26/02/2021 16:02:26;0,00
26/02/2021 16:02:28;13,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;11,00
26/02/2021 16:02:34;3,00
26/02/2021 16:02:36;13,00
26/02/2021 16:02:38;0,00
26/02/2021 16:02:40;5,00
26/02/2021 16:02:42;13,00
26/02/2021 16:02:44;12,00
26/02/2021 16:02:46;0,00
26/02/2021 16:02:48;13,00
26/02/2021 16:02:50;5,00
26/02/2021 16:02:52;8,00
26/02/2021 16:02:54;12,00
26/02/2021 16:02:56;9,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:00;9,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;9,00
26/02/2021 16:03:06;3,00
26/02/2021 16:03:08;9,00
26/02/2021 16:03:12;0,00
26/02/2021 16:03:14;6,00
26/02/2021 16:03:16;13,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;14,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;3,00
26/02/2021 16:03:28;8,00
26/02/2021 16:03:30;14,00
26/02/2021 16:03:34;10,00
26/02/2021 16:03:37;9,00
26/02/2021 16:03:39;11,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:45;10,00
26/02/2021 16:03:47;3,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;6,00
26/02/2021 16:03:53;8,00
26/02/2021 16:03:55;13,00
26/02/2021 16:03:59;0,00
26/02/2021 16:04:01;2,00
26/02/2021 16:04:03;10,00
26/02/2021 16:04:05;8,00
26/02/2021 16:04:07;4,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:11;13,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:17;7,00
26/02/2021 16:04:21;13,00
26/02/2021 16:04:23;7,00
26/02/2021 16:04:25;8,00
26/02/2021 16:04:27;6,00
26/02/2021 16:04:29;8,00
26/02/2021 16:04:31;7,00
26/02/2021 16:04:33;5,00
26/02/2021 16:04:35;14,00
26/02/2021 16:04:37;8,00
26/02/2021 16:04:41;4,00
26/02/2021 16:04:43;14,00
26/02/2021 16:04:45;12,00
26/02/2021 16:04:47;2,00
26/02/2021 16:04:49;3,00
26/02/2021 16:04:51;9,00
26/02/2021 16:04:53;8,00
26/02/2021 16:04:55;13,00
26/02/2021 16:04:57;0,00
26/02/2021 16:04:59;6,00
26/02/2021 16:05:01;3,00
26/02/2021 16:05:03;6,00
26/02/2021 16:05:05;10,00
26/02/2021 16:05:07;6,00
26/02/2021 16:05:09;9,00
26/02/2021 16:05:11;2,00
26/02/2021 16:05:13;4,00
26/02/2021 16:05:15;6,00
26/02/2021 16:05:17;8,00
26/02/2021 16:05:19;7,00
26/02/2021 16:05:21;12,00
26/02/2021 16:05:23;1,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;12,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;9,00
26/02/2021 16:05:33;5,00
26/02/2021 16:05:35;2,00
26/02/2021 16:05:37;5,00
26/02/2021 16:05:39;10,00
26/02/2021 16:05:41;3,00
26/02/2021 16:05:45;2,00
26/02/2021 16:05:47;12,00
26/02/2021 16:05:49;13,00
26/02/2021 16:05:51;6,00
26/02/2021 16:05:53;4,00
26/02/2021 16:05:55;2,00
26/02/2021 16:05:57;7,00
26/02/2021 16:05:59;10,00
26/02/2021 16:06:01;9,00
26/02/2021 16:06:04;6,00
26/02/2021 16:06:05;3,00
26/02/2021 16:06:08;12,00
26/02/2021 16:06:10;13,00
26/02/2021 16:06:12;6,00
26/02/2021 16:06:14;11,00
