dd/MM/yyyy HH:mm:ss;CTC2A,16
26/02/2021 16:02:12;1,00
26/02/2021 16:02:14;3,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;5,00
26/02/2021 16:02:20;0,00
26/02/2021 16:02:22;9,00
26/02/2021 16:02:24;7,00
26/02/2021 16:02:26;2,00
26/02/2021 16:02:28;14,00
26/02/2021 16:02:30;10,00
26/02/2021 16:02:32;3,00
26/02/2021 16:02:34;5,00
26/02/2021 16:02:36;6,00
26/02/2021 16:02:38;2,00
26/02/2021 16:02:40;9,00
26/02/2021 16:02:42;2,00
26/02/2021 16:02:44;11,00
26/02/2021 16:02:46;0,00
26/02/2021 16:02:48;12,00
26/02/2021 16:02:50;0,00
26/02/2021 16:02:52;9,00
26/02/2021 16:02:54;6,00
26/02/2021 16:02:56;14,00
26/02/2021 16:02:58;8,00
26/02/2021 16:03:00;7,00
26/02/2021 16:03:02;10,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;10,00
26/02/2021 16:03:08;6,00
26/02/2021 16:03:10;4,00
26/02/2021 16:03:12;12,00
26/02/2021 16:03:14;3,00
26/02/2021 16:03:16;9,00
26/02/2021 16:03:20;11,00
26/02/2021 16:03:22;0,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;4,00
26/02/2021 16:03:28;13,00
26/02/2021 16:03:30;5,00
26/02/2021 16:03:32;4,00
26/02/2021 16:03:34;13,00
26/02/2021 16:03:36;4,00
26/02/2021 16:03:39;9,00
26/02/2021 16:03:41;0,00
26/02/2021 16:03:43;3,00
26/02/2021 16:03:45;6,00
26/02/2021 16:03:47;5,00
26/02/2021 16:03:49;13,00
26/02/2021 16:03:51;7,00
26/02/2021 16:03:53;12,00
26/02/2021 16:03:55;9,00
26/02/2021 16:03:59;7,00
26/02/2021 16:04:01;6,00
26/02/2021 16:04:03;14,00
26/02/2021 16:04:05;0,00
26/02/2021 16:04:07;2,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;11,00
26/02/2021 16:04:15;3,00
26/02/2021 16:04:17;11,00
26/02/2021 16:04:19;10,00
26/02/2021 16:04:21;0,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:25;8,00
26/02/2021 16:04:27;14,00
26/02/2021 16:04:29;0,00
26/02/2021 16:04:31;4,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:35;10,00
26/02/2021 16:04:37;2,00
26/02/2021 16:04:39;4,00
26/02/2021 16:04:41;13,00
26/02/2021 16:04:43;3,00
26/02/2021 16:04:45;5,00
26/02/2021 16:04:47;0,00
26/02/2021 16:04:49;9,00
26/02/2021 16:04:51;0,00
26/02/2021 16:04:53;1,00
26/02/2021 16:04:55;9,00
26/02/2021 16:04:57;12,00
26/02/2021 16:04:59;1,00
26/02/2021 16:05:01;6,00
26/02/2021 16:05:03;12,00
26/02/2021 16:05:05;8,00
26/02/2021 16:05:07;9,00
26/02/2021 16:05:09;14,00
26/02/2021 16:05:11;0,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;3,00
26/02/2021 16:05:17;11,00
26/02/2021 16:05:19;2,00
26/02/2021 16:05:21;6,00
26/02/2021 16:05:23;0,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;0,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;13,00
26/02/2021 16:05:35;14,00
26/02/2021 16:05:37;7,00
26/02/2021 16:05:39;0,00
26/02/2021 16:05:41;8,00
26/02/2021 16:05:43;3,00
26/02/2021 16:05:45;0,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;14,00
26/02/2021 16:05:51;0,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;6,00
26/02/2021 16:05:57;8,00
26/02/2021 16:05:59;7,00
26/02/2021 16:06:01;11,00
26/02/2021 16:06:03;13,00
26/02/2021 16:06:05;6,00
26/02/2021 16:06:07;1,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:14;10,00
26/02/2021 16:06:16;13,00
26/02/2021 16:06:18;6,00
26/02/2021 16:06:20;14,00
26/02/2021 16:06:22;1,00
26/02/2021 16:06:24;13,00
26/02/2021 16:06:26;6,00
26/02/2021 16:06:28;7,00
26/02/2021 16:06:30;4,00
26/02/2021 16:06:32;3,00
26/02/2021 16:06:34;2,00
26/02/2021 16:06:36;3,00
26/02/2021 16:06:38;7,00
26/02/2021 16:06:40;12,00
26/02/2021 16:06:42;6,00
26/02/2021 16:06:44;1,00
26/02/2021 16:06:46;7,00
26/02/2021 16:06:48;2,00
26/02/2021 16:06:50;0,00
26/02/2021 16:06:52;4,00
26/02/2021 16:06:54;11,00
26/02/2021 16:06:56;6,00
26/02/2021 16:06:58;12,00
26/02/2021 16:07:00;8,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;10,00
26/02/2021 16:07:06;12,00
26/02/2021 16:07:08;6,00
26/02/2021 16:07:10;8,00
26/02/2021 16:07:12;2,00
26/02/2021 16:07:14;11,00
26/02/2021 16:07:16;1,00
26/02/2021 16:07:18;13,00
26/02/2021 16:07:20;6,00
26/02/2021 16:07:22;1,00
26/02/2021 16:07:24;10,00
26/02/2021 16:07:26;0,00
26/02/2021 16:07:28;14,00
26/02/2021 16:07:30;6,00
26/02/2021 16:07:32;4,00
26/02/2021 16:07:34;10,00
26/02/2021 16:07:36;2,00
26/02/2021 16:07:38;1,00
26/02/2021 16:07:40;8,00
26/02/2021 16:07:42;12,00
26/02/2021 16:07:46;6,00
26/02/2021 16:07:48;7,00
26/02/2021 16:07:50;5,00
26/02/2021 16:07:52;6,00
26/02/2021 16:07:54;0,00
26/02/2021 16:07:56;8,00
26/02/2021 16:07:58;7,00
26/02/2021 16:08:00;0,00
26/02/2021 16:08:02;3,00
26/02/2021 16:08:04;5,00
26/02/2021 16:08:06;7,00
26/02/2021 16:08:08;9,00
26/02/2021 16:08:10;5,00
26/02/2021 16:08:12;10,00
26/02/2021 16:08:14;9,00
26/02/2021 16:08:16;8,00
26/02/2021 16:08:18;11,00
26/02/2021 16:08:22;8,00
26/02/2021 16:08:24;0,00
26/02/2021 16:08:26;13,00
26/02/2021 16:08:28;12,00
26/02/2021 16:08:30;11,00
26/02/2021 16:08:32;4,00
26/02/2021 16:08:36;0,00
26/02/2021 16:08:39;11,00
26/02/2021 16:08:41;14,00
26/02/2021 16:08:42;7,00
26/02/2021 16:08:45;13,00
26/02/2021 16:08:47;8,00
26/02/2021 16:08:49;2,00
26/02/2021 16:08:53;12,00
26/02/2021 16:08:55;13,00
26/02/2021 16:08:57;2,00
26/02/2021 16:09:03;6,00
26/02/2021 16:09:05;11,00
26/02/2021 16:09:07;14,00
26/02/2021 16:09:09;1,00
26/02/2021 16:09:11;0,00
26/02/2021 16:09:13;3,00
26/02/2021 16:09:15;11,00
26/02/2021 16:09:17;2,00
26/02/2021 16:09:19;1,00
26/02/2021 16:09:21;0,00
26/02/2021 16:09:23;7,00
26/02/2021 16:09:25;5,00
26/02/2021 16:09:27;1,00
26/02/2021 16:09:29;7,00
26/02/2021 16:09:31;13,00
26/02/2021 16:09:33;6,00
26/02/2021 16:09:35;7,00
26/02/2021 16:09:37;14,00
26/02/2021 16:09:39;3,00
26/02/2021 16:09:41;6,00
26/02/2021 16:09:43;8,00
26/02/2021 16:09:45;12,00
26/02/2021 16:09:47;6,00
26/02/2021 16:09:49;13,00
26/02/2021 16:09:51;3,00
26/02/2021 16:09:53;14,00
26/02/2021 16:09:55;8,00
26/02/2021 16:09:57;11,00
26/02/2021 16:09:59;2,00
26/02/2021 16:10:01;12,00
26/02/2021 16:10:03;14,00
26/02/2021 16:10:05;4,00
26/02/2021 16:10:09;0,00
26/02/2021 16:10:11;11,00
26/02/2021 16:10:15;10,00
26/02/2021 16:10:17;9,00
26/02/2021 16:10:19;1,00
26/02/2021 16:10:21;13,00
26/02/2021 16:10:27;11,00
26/02/2021 16:10:29;8,00
26/02/2021 16:10:31;2,00
26/02/2021 16:10:33;13,00
26/02/2021 16:10:35;10,00
26/02/2021 16:10:37;5,00
26/02/2021 16:10:39;14,00
26/02/2021 16:10:41;5,00
26/02/2021 16:10:43;10,00
26/02/2021 16:10:46;3,00
26/02/2021 16:10:48;6,00
26/02/2021 16:10:50;1,00
26/02/2021 16:10:52;12,00
26/02/2021 16:10:54;6,00
26/02/2021 16:10:56;12,00
26/02/2021 16:10:58;5,00
26/02/2021 16:11:00;13,00
26/02/2021 16:11:04;6,00
26/02/2021 16:11:06;14,00
26/02/2021 16:11:08;12,00
26/02/2021 16:11:10;8,00
26/02/2021 16:11:12;14,00
26/02/2021 16:11:14;8,00
26/02/2021 16:11:16;10,00
26/02/2021 16:11:18;3,00
26/02/2021 16:11:20;12,00
26/02/2021 16:11:22;7,00
26/02/2021 16:11:24;3,00
26/02/2021 16:11:26;13,00
26/02/2021 16:11:28;14,00
26/02/2021 16:11:30;2,00
26/02/2021 16:11:32;4,00
26/02/2021 16:11:34;6,00
26/02/2021 16:11:36;11,00
26/02/2021 16:11:38;8,00
26/02/2021 16:11:40;6,00
26/02/2021 16:11:42;13,00
26/02/2021 16:11:44;0,00
26/02/2021 16:11:46;13,00
26/02/2021 16:11:50;9,00
26/02/2021 16:11:52;11,00
26/02/2021 16:11:54;13,00
26/02/2021 16:11:56;5,00
26/02/2021 16:11:58;6,00
26/02/2021 16:12:00;11,00
26/02/2021 16:12:02;4,00
26/02/2021 16:12:04;10,00
26/02/2021 16:12:06;12,00
26/02/2021 16:12:08;10,00
26/02/2021 16:12:10;6,00
26/02/2021 16:12:12;11,00
26/02/2021 16:12:16;9,00
26/02/2021 16:12:18;3,00
26/02/2021 16:12:20;6,00
26/02/2021 16:12:22;13,00
26/02/2021 16:12:24;9,00
26/02/2021 16:12:26;8,00
26/02/2021 16:12:28;2,00
26/02/2021 16:12:30;8,00
26/02/2021 16:12:32;3,00
26/02/2021 16:12:34;8,00
26/02/2021 16:12:36;2,00
26/02/2021 16:12:38;0,00
26/02/2021 16:12:40;14,00
26/02/2021 16:12:42;4,00
26/02/2021 16:12:44;12,00
26/02/2021 16:12:46;2,00
26/02/2021 16:12:48;6,00
26/02/2021 16:12:52;4,00
26/02/2021 16:12:54;6,00
26/02/2021 16:12:56;12,00
26/02/2021 16:12:58;0,00
26/02/2021 16:13:00;14,00
26/02/2021 16:13:02;11,00
26/02/2021 16:13:04;10,00
26/02/2021 16:13:06;7,00
26/02/2021 16:13:08;6,00
26/02/2021 16:13:10;4,00
26/02/2021 16:13:14;6,00
26/02/2021 16:13:16;12,00
26/02/2021 16:13:20;0,00
26/02/2021 16:13:22;14,00
26/02/2021 16:13:25;5,00
26/02/2021 16:13:27;0,00
26/02/2021 16:13:29;3,00
26/02/2021 16:13:30;2,00
26/02/2021 16:13:33;8,00
26/02/2021 16:13:35;5,00
26/02/2021 16:13:37;11,00
26/02/2021 16:13:39;7,00
26/02/2021 16:13:41;3,00
26/02/2021 16:13:43;9,00
26/02/2021 16:13:45;1,00
26/02/2021 16:13:49;9,00
26/02/2021 16:13:51;13,00
26/02/2021 16:13:53;1,00
26/02/2021 16:13:55;14,00
26/02/2021 16:13:57;2,00
26/02/2021 16:13:59;14,00
26/02/2021 16:14:01;3,00
26/02/2021 16:14:03;4,00
26/02/2021 16:14:05;6,00
26/02/2021 16:14:07;9,00
26/02/2021 16:14:09;10,00
26/02/2021 16:14:11;7,00
26/02/2021 16:14:13;4,00
26/02/2021 16:14:15;13,00
26/02/2021 16:14:17;14,00
26/02/2021 16:14:19;10,00
26/02/2021 16:14:21;6,00
26/02/2021 16:14:23;1,00
26/02/2021 16:14:25;12,00
26/02/2021 16:14:27;4,00
26/02/2021 16:14:31;12,00
26/02/2021 16:14:33;8,00
26/02/2021 16:14:35;2,00
26/02/2021 16:14:37;0,00
26/02/2021 16:14:39;6,00
