dd/MM/yyyy HH:mm:ss;CTC5G,16
26/02/2021 16:02:12;7,00
26/02/2021 16:02:14;4,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;9,00
26/02/2021 16:02:20;7,00
26/02/2021 16:02:22;1,00
26/02/2021 16:02:24;13,00
26/02/2021 16:02:26;2,00
26/02/2021 16:02:28;9,00
26/02/2021 16:02:30;8,00
26/02/2021 16:02:34;2,00
26/02/2021 16:02:36;9,00
26/02/2021 16:02:38;10,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;2,00
26/02/2021 16:02:44;11,00
26/02/2021 16:02:46;4,00
26/02/2021 16:02:48;13,00
26/02/2021 16:02:52;10,00
26/02/2021 16:02:54;8,00
26/02/2021 16:02:56;10,00
26/02/2021 16:03:00;12,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;1,00
26/02/2021 16:03:08;13,00
26/02/2021 16:03:10;5,00
26/02/2021 16:03:12;3,00
26/02/2021 16:03:14;9,00
26/02/2021 16:03:16;5,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;2,00
26/02/2021 16:03:22;1,00
26/02/2021 16:03:24;10,00
26/02/2021 16:03:26;14,00
26/02/2021 16:03:28;8,00
26/02/2021 16:03:30;7,00
26/02/2021 16:03:32;13,00
26/02/2021 16:03:34;1,00
26/02/2021 16:03:37;13,00
26/02/2021 16:03:39;7,00
26/02/2021 16:03:41;1,00
26/02/2021 16:03:43;14,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;3,00
26/02/2021 16:03:49;6,00
26/02/2021 16:03:51;12,00
26/02/2021 16:03:53;10,00
26/02/2021 16:03:55;6,00
26/02/2021 16:03:57;11,00
26/02/2021 16:03:59;7,00
26/02/2021 16:04:01;0,00
26/02/2021 16:04:03;4,00
26/02/2021 16:04:05;3,00
26/02/2021 16:04:07;11,00
26/02/2021 16:04:09;8,00
26/02/2021 16:04:11;1,00
26/02/2021 16:04:13;7,00
26/02/2021 16:04:15;14,00
26/02/2021 16:04:17;7,00
26/02/2021 16:04:19;6,00
26/02/2021 16:04:21;5,00
26/02/2021 16:04:23;13,00
26/02/2021 16:04:25;2,00
26/02/2021 16:04:27;10,00
26/02/2021 16:04:29;0,00
26/02/2021 16:04:31;12,00
26/02/2021 16:04:33;13,00
26/02/2021 16:04:35;6,00
26/02/2021 16:04:37;9,00
26/02/2021 16:04:39;0,00
26/02/2021 16:04:41;13,00
26/02/2021 16:04:43;6,00
26/02/2021 16:04:45;12,00
26/02/2021 16:04:47;14,00
26/02/2021 16:04:49;9,00
26/02/2021 16:04:51;10,00
26/02/2021 16:04:53;4,00
26/02/2021 16:04:55;8,00
26/02/2021 16:04:57;9,00
26/02/2021 16:04:59;3,00
26/02/2021 16:05:01;2,00
26/02/2021 16:05:03;0,00
26/02/2021 16:05:05;9,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:11;7,00
26/02/2021 16:05:13;11,00
26/02/2021 16:05:15;5,00
26/02/2021 16:05:17;11,00
26/02/2021 16:05:19;6,00
26/02/2021 16:05:21;0,00
26/02/2021 16:05:23;10,00
26/02/2021 16:05:25;2,00
26/02/2021 16:05:27;12,00
26/02/2021 16:05:29;11,00
26/02/2021 16:05:31;14,00
26/02/2021 16:05:33;0,00
26/02/2021 16:05:35;1,00
26/02/2021 16:05:37;14,00
26/02/2021 16:05:39;2,00
26/02/2021 16:05:41;9,00
26/02/2021 16:05:43;5,00
26/02/2021 16:05:45;7,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;2,00
26/02/2021 16:05:51;5,00
26/02/2021 16:05:55;8,00
26/02/2021 16:05:57;13,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;14,00
26/02/2021 16:06:04;4,00
26/02/2021 16:06:05;12,00
26/02/2021 16:06:08;9,00
26/02/2021 16:06:10;10,00
26/02/2021 16:06:12;1,00
26/02/2021 16:06:14;8,00
26/02/2021 16:06:16;14,00
26/02/2021 16:06:18;8,00
26/02/2021 16:06:20;10,00
26/02/2021 16:06:22;1,00
26/02/2021 16:06:24;8,00
26/02/2021 16:06:26;1,00
26/02/2021 16:06:28;3,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;3,00
26/02/2021 16:06:38;0,00
26/02/2021 16:06:40;5,00
26/02/2021 16:06:42;4,00
26/02/2021 16:06:44;9,00
26/02/2021 16:06:46;12,00
26/02/2021 16:06:48;9,00
26/02/2021 16:06:50;13,00
26/02/2021 16:06:52;3,00
26/02/2021 16:06:54;0,00
26/02/2021 16:06:56;6,00
26/02/2021 16:06:58;8,00
26/02/2021 16:07:00;0,00
26/02/2021 16:07:02;10,00
26/02/2021 16:07:04;9,00
26/02/2021 16:07:06;1,00
26/02/2021 16:07:08;12,00
26/02/2021 16:07:10;10,00
26/02/2021 16:07:12;7,00
26/02/2021 16:07:14;12,00
26/02/2021 16:07:16;14,00
26/02/2021 16:07:18;10,00
26/02/2021 16:07:20;9,00
26/02/2021 16:07:22;10,00
26/02/2021 16:07:24;14,00
26/02/2021 16:07:26;4,00
26/02/2021 16:07:28;0,00
26/02/2021 16:07:30;1,00
26/02/2021 16:07:32;0,00
26/02/2021 16:07:34;12,00
26/02/2021 16:07:36;6,00
26/02/2021 16:07:38;7,00
26/02/2021 16:07:40;5,00
26/02/2021 16:07:42;0,00
26/02/2021 16:07:44;9,00
26/02/2021 16:07:46;6,00
26/02/2021 16:07:48;12,00
26/02/2021 16:07:50;2,00
26/02/2021 16:07:52;5,00
26/02/2021 16:07:54;13,00
26/02/2021 16:07:56;8,00
26/02/2021 16:07:58;7,00
26/02/2021 16:08:00;1,00
26/02/2021 16:08:02;8,00
26/02/2021 16:08:04;4,00
26/02/2021 16:08:06;2,00
26/02/2021 16:08:10;3,00
26/02/2021 16:08:14;0,00
26/02/2021 16:08:16;9,00
26/02/2021 16:08:18;8,00
26/02/2021 16:08:20;7,00
26/02/2021 16:08:22;12,00
26/02/2021 16:08:24;5,00
26/02/2021 16:08:26;9,00
26/02/2021 16:08:28;12,00
26/02/2021 16:08:30;11,00
26/02/2021 16:08:33;12,00
26/02/2021 16:08:34;0,00
26/02/2021 16:08:39;7,00
26/02/2021 16:08:41;13,00
26/02/2021 16:08:43;4,00
26/02/2021 16:08:45;2,00
26/02/2021 16:08:47;1,00
26/02/2021 16:08:49;11,00
26/02/2021 16:08:51;6,00
26/02/2021 16:08:53;1,00
26/02/2021 16:08:55;3,00
26/02/2021 16:08:57;11,00
26/02/2021 16:08:59;12,00
26/02/2021 16:09:01;1,00
26/02/2021 16:09:03;0,00
26/02/2021 16:09:05;14,00
26/02/2021 16:09:09;5,00
26/02/2021 16:09:11;3,00
26/02/2021 16:09:13;14,00
26/02/2021 16:09:15;5,00
26/02/2021 16:09:19;3,00
26/02/2021 16:09:21;12,00
26/02/2021 16:09:23;4,00
26/02/2021 16:09:25;9,00
26/02/2021 16:09:27;3,00
26/02/2021 16:09:29;13,00
26/02/2021 16:09:31;11,00
26/02/2021 16:09:33;0,00
26/02/2021 16:09:37;6,00
26/02/2021 16:09:39;3,00
26/02/2021 16:09:41;12,00
26/02/2021 16:09:43;4,00
26/02/2021 16:09:45;0,00
26/02/2021 16:09:47;1,00
26/02/2021 16:09:49;11,00
26/02/2021 16:09:51;6,00
26/02/2021 16:09:53;13,00
26/02/2021 16:09:55;2,00
26/02/2021 16:09:57;10,00
26/02/2021 16:09:59;6,00
26/02/2021 16:10:01;4,00
26/02/2021 16:10:03;2,00
26/02/2021 16:10:05;13,00
26/02/2021 16:10:07;10,00
26/02/2021 16:10:09;12,00
26/02/2021 16:10:11;6,00
26/02/2021 16:10:17;4,00
26/02/2021 16:10:21;0,00
26/02/2021 16:10:25;9,00
26/02/2021 16:10:29;0,00
26/02/2021 16:10:31;10,00
26/02/2021 16:10:33;12,00
26/02/2021 16:10:35;6,00
26/02/2021 16:10:37;4,00
26/02/2021 16:10:39;8,00
26/02/2021 16:10:41;14,00
26/02/2021 16:10:44;0,00
26/02/2021 16:10:46;10,00
26/02/2021 16:10:48;1,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;8,00
26/02/2021 16:10:54;11,00
26/02/2021 16:10:56;8,00
26/02/2021 16:10:58;3,00
26/02/2021 16:11:00;9,00
26/02/2021 16:11:02;0,00
26/02/2021 16:11:04;13,00
26/02/2021 16:11:06;10,00
26/02/2021 16:11:08;9,00
26/02/2021 16:11:10;8,00
26/02/2021 16:11:12;1,00
26/02/2021 16:11:14;13,00
26/02/2021 16:11:16;2,00
26/02/2021 16:11:18;4,00
26/02/2021 16:11:22;2,00
26/02/2021 16:11:24;7,00
26/02/2021 16:11:26;2,00
26/02/2021 16:11:28;13,00
26/02/2021 16:11:32;6,00
26/02/2021 16:11:34;10,00
26/02/2021 16:11:36;8,00
26/02/2021 16:11:38;1,00
26/02/2021 16:11:40;3,00
26/02/2021 16:11:42;12,00
26/02/2021 16:11:44;1,00
26/02/2021 16:11:46;5,00
26/02/2021 16:11:48;4,00
26/02/2021 16:11:50;2,00
26/02/2021 16:11:52;14,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:56;10,00
26/02/2021 16:11:58;3,00
26/02/2021 16:12:00;12,00
26/02/2021 16:12:02;2,00
26/02/2021 16:12:04;5,00
26/02/2021 16:12:06;1,00
26/02/2021 16:12:08;5,00
26/02/2021 16:12:10;10,00
26/02/2021 16:12:12;6,00
26/02/2021 16:12:14;12,00
26/02/2021 16:12:16;11,00
26/02/2021 16:12:18;10,00
26/02/2021 16:12:20;5,00
26/02/2021 16:12:22;8,00
26/02/2021 16:12:24;2,00
26/02/2021 16:12:26;12,00
26/02/2021 16:12:28;5,00
26/02/2021 16:12:30;8,00
26/02/2021 16:12:32;14,00
26/02/2021 16:12:34;2,00
26/02/2021 16:12:36;11,00
26/02/2021 16:12:40;9,00
26/02/2021 16:12:42;6,00
26/02/2021 16:12:44;3,00
26/02/2021 16:12:46;13,00
26/02/2021 16:12:48;11,00
26/02/2021 16:12:52;9,00
26/02/2021 16:12:54;3,00
26/02/2021 16:12:56;5,00
26/02/2021 16:13:02;8,00
26/02/2021 16:13:04;9,00
26/02/2021 16:13:06;8,00
26/02/2021 16:13:08;4,00
26/02/2021 16:13:10;13,00
26/02/2021 16:13:12;12,00
26/02/2021 16:13:14;10,00
26/02/2021 16:13:16;3,00
26/02/2021 16:13:18;14,00
26/02/2021 16:13:21;3,00
26/02/2021 16:13:22;12,00
26/02/2021 16:13:25;0,00
26/02/2021 16:13:27;5,00
26/02/2021 16:13:29;11,00
26/02/2021 16:13:31;7,00
26/02/2021 16:13:33;11,00
26/02/2021 16:13:35;4,00
26/02/2021 16:13:37;14,00
26/02/2021 16:13:39;11,00
26/02/2021 16:13:41;10,00
26/02/2021 16:13:43;13,00
26/02/2021 16:13:45;10,00
26/02/2021 16:13:47;5,00
26/02/2021 16:13:49;7,00
26/02/2021 16:13:51;5,00
26/02/2021 16:13:53;8,00
26/02/2021 16:13:55;6,00
26/02/2021 16:13:57;5,00
26/02/2021 16:13:59;14,00
26/02/2021 16:14:01;13,00
26/02/2021 16:14:03;11,00
26/02/2021 16:14:05;8,00
26/02/2021 16:14:09;2,00
26/02/2021 16:14:11;10,00
26/02/2021 16:14:13;3,00
26/02/2021 16:14:15;5,00
26/02/2021 16:14:17;11,00
26/02/2021 16:14:19;14,00
26/02/2021 16:14:21;0,00
26/02/2021 16:14:23;8,00
26/02/2021 16:14:25;9,00
26/02/2021 16:14:27;5,00
26/02/2021 16:14:29;0,00
26/02/2021 16:14:31;14,00
26/02/2021 16:14:33;7,00
26/02/2021 16:14:35;8,00
26/02/2021 16:14:37;0,00
26/02/2021 16:14:39;13,00
26/02/2021 16:14:41;8,00
